 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-241.54,408.785,27.0713,-307.988,414.297,24.6905,-312.461,594.558,-9.78817,-305.89,505.055,12.779,-256.563,506.699,31.1317,-259.979,582.546,35.5011,-224.593,682.945,-48.9055,-301.888,669.534,-9.64938,-275.829,682.153,91.7292,-264.995,689.508,136.963,-252.739,701.515,209.861,-236.257,659.203,207.71,-245.897,655.004,146.935,-261.987,648.627,101.409,-174.561,746.151,314.628,-133.7,660.005,313.735,-169.466,692.827,330.96,-17.2879,610.434,262.798,-14.1637,622.733,289.265,28.7889,623.224,287.198,28.087,607.091,264.695,,,,,,
-241.543,408.785,27.0672,-307.992,414.297,24.6842,-312.466,594.559,-9.79514,-305.893,505.057,12.77,-256.567,506.7,31.1268,-259.986,582.545,35.4993,-224.595,682.946,-48.9106,-301.891,669.534,-9.65937,-275.84,682.155,91.7222,-265.008,689.508,136.956,-252.757,701.512,209.858,-236.279,659.199,207.707,-245.913,655.004,146.93,-262.002,648.629,101.403,-174.572,746.162,314.626,-133.712,660.022,313.734,-169.48,692.838,330.962,-17.2946,610.428,262.789,-14.1742,622.728,289.259,28.7801,623.22,287.197,28.0787,607.088,264.691,,,,,,
-241.547,408.786,27.0634,-307.996,414.296,24.6782,-312.471,594.56,-9.80218,-305.897,505.058,12.7613,-256.572,506.7,31.122,-259.994,582.543,35.4973,-224.597,682.948,-48.9163,-301.894,669.535,-9.66953,-275.852,682.156,91.7149,-265.02,689.508,136.949,-252.774,701.509,209.855,-236.299,659.196,207.704,-245.929,655.004,146.924,-262.017,648.63,101.397,-174.583,746.173,314.624,-133.723,660.038,313.732,-169.494,692.849,330.963,-17.3013,610.423,262.78,-14.1846,622.722,289.253,28.7714,623.217,287.196,28.0705,607.086,264.686,,,,,,
-241.55,408.786,27.0599,-308,414.296,24.6725,-312.477,594.561,-9.80928,-305.901,505.06,12.7528,-256.578,506.701,31.1174,-260.002,582.542,35.4952,-224.599,682.949,-48.9225,-301.897,669.535,-9.67983,-275.863,682.158,91.7073,-265.032,689.508,136.942,-252.792,701.506,209.851,-236.32,659.194,207.701,-245.944,655.004,146.918,-262.031,648.632,101.39,-174.594,746.184,314.621,-133.734,660.055,313.729,-169.508,692.861,330.963,-17.3081,610.418,262.77,-14.195,622.716,289.246,28.7627,623.214,287.194,28.0623,607.083,264.681,,,,,,
-241.554,408.787,27.0566,-308.004,414.296,24.667,-312.482,594.562,-9.81643,-305.905,505.061,12.7446,-256.583,506.702,31.113,-260.01,582.542,35.4929,-224.602,682.951,-48.9291,-301.901,669.536,-9.69029,-275.874,682.159,91.6994,-265.044,689.508,136.935,-252.808,701.504,209.847,-236.339,659.191,207.697,-245.96,655.004,146.911,-262.045,648.633,101.383,-174.604,746.195,314.617,-133.745,660.072,313.726,-169.521,692.872,330.963,-17.3148,610.414,262.76,-14.2051,622.711,289.239,28.7542,623.211,287.192,28.0541,607.081,264.676,,,,,,
-241.558,408.788,27.0537,-308.009,414.297,24.6618,-312.488,594.563,-9.82363,-305.91,505.063,12.7366,-256.588,506.704,31.1087,-260.017,582.542,35.4905,-224.604,682.952,-48.9362,-301.905,669.537,-9.7009,-275.885,682.16,91.6913,-265.056,689.507,136.927,-252.824,701.502,209.842,-236.358,659.189,207.693,-245.975,655.004,146.905,-262.059,648.634,101.376,-174.614,746.206,314.612,-133.755,660.088,313.721,-169.534,692.884,330.962,-17.3216,610.409,262.749,-14.2152,622.706,289.231,28.7457,623.208,287.189,28.0459,607.079,264.67,,,,,,
-241.562,408.789,27.051,-308.013,414.297,24.6569,-312.494,594.565,-9.83088,-305.914,505.065,12.7289,-256.594,506.705,31.1045,-260.025,582.542,35.4879,-224.608,682.954,-48.9438,-301.909,669.538,-9.71166,-275.895,682.161,91.6829,-265.068,689.507,136.919,-252.84,701.5,209.837,-236.376,659.187,207.689,-245.99,655.003,146.898,-262.072,648.635,101.368,-174.623,746.217,314.606,-133.764,660.104,313.716,-169.547,692.896,330.96,-17.3283,610.405,262.739,-14.2252,622.7,289.223,28.7373,623.205,287.185,28.0378,607.078,264.663,,,,,,
-241.566,408.791,27.0487,-308.018,414.298,24.6522,-312.5,594.566,-9.83818,-305.919,505.067,12.7214,-256.6,506.707,31.1005,-260.033,582.542,35.485,-224.611,682.956,-48.9519,-301.913,669.539,-9.72257,-275.906,682.162,91.6742,-265.079,689.507,136.911,-252.855,701.498,209.832,-236.393,659.186,207.685,-246.004,655.003,146.891,-262.085,648.637,101.359,-174.632,746.229,314.6,-133.774,660.12,313.711,-169.559,692.908,330.957,-17.3351,610.401,262.727,-14.235,622.695,289.215,28.729,623.202,287.182,28.0297,607.076,264.656,,,,,,
-241.57,408.793,27.0466,-308.023,414.299,24.6479,-312.507,594.568,-9.84553,-305.924,505.069,12.7142,-256.606,506.709,31.0967,-260.041,582.543,35.4821,-224.615,682.958,-48.9605,-301.918,669.54,-9.73362,-275.917,682.163,91.6653,-265.091,689.507,136.903,-252.87,701.497,209.826,-236.41,659.184,207.68,-246.018,655.002,146.884,-262.098,648.637,101.351,-174.641,746.24,314.593,-133.783,660.136,313.704,-169.571,692.92,330.953,-17.3418,610.398,262.716,-14.2447,622.691,289.206,28.7208,623.199,287.177,28.0216,607.075,264.649,,,,,,
-241.575,408.795,27.0449,-308.028,414.301,24.6439,-312.513,594.569,-9.85292,-305.929,505.072,12.7073,-256.612,506.712,31.093,-260.049,582.544,35.4789,-224.619,682.96,-48.9695,-301.923,669.541,-9.74482,-275.927,682.163,91.6561,-265.102,689.506,136.894,-252.884,701.496,209.819,-236.426,659.184,207.675,-246.032,655.002,146.876,-262.11,648.638,101.341,-174.649,746.252,314.585,-133.791,660.152,313.697,-169.583,692.932,330.949,-17.3485,610.395,262.704,-14.2543,622.686,289.198,28.7126,623.197,287.173,28.0135,607.074,264.641,,,,,,
