Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z,Trunk_x,Trunk_y,Trunk_z
-135.6888710678241,56.26546046090668,98.56769277224961,-262.87501549151096,-85.08361435599946,-167.4534344554837,-113.0732615339595,-211.80851616854378,6.198946964899339,-25.283985645709617,-64.75108183026437,-17.676581147191115,33.60928359857703,532.9576872754351,206.64707027664204
-135.34013018835265,58.027334332620725,98.29522444321663,-259.2342681911857,-86.56971243389133,-166.63636303450082,-111.07617164957358,-204.2050810041892,14.427814607191749,-24.487072256789613,-65.79756614386757,-14.811967191612666,31.400451566313937,534.6073308709931,207.19991586993336
-134.9701346550155,59.50700474257191,98.0718709560389,-256.20313850077775,-88.249475433118,-165.4353739043968,-109.60400457897371,-197.10754160806889,21.6348972497946,-24.01858513154798,-66.59278007185429,-11.857810186518575,29.59045468097322,536.0702472796933,207.70991712767116
-134.62112883619025,61.020729751234455,97.73827316524648,-253.2506898140198,-89.9506238490979,-164.20778081823352,-107.96664372494419,-190.47143176624922,27.824562262438555,-23.847527356977324,-67.11266098236489,-8.911847881977824,27.569813291519093,537.7629626255052,208.25259334648308
-134.2622318989725,62.27401944424129,97.44484793003298,-250.91768830797974,-91.70048009769877,-162.71026883229462,-106.66665588673703,-184.45979153276815,33.13378699589853,-24.008893847919403,-67.379244355391,-5.912061614760085,25.92240933604856,539.2754859022181,208.74638228737473
-133.92871497786308,63.537621951939244,97.06110295233967,-248.7137611231533,-93.37594469523565,-161.2506581437666,-105.14254832496549,-179.05050587017132,37.602051207948506,-24.42651465192294,-67.39709749827053,-2.9665326057883035,24.136540551746034,540.953506336475,209.25431028941665
-133.59459956383378,64.57323050503983,96.71562424638577,-247.0508548414112,-95.01534644245798,-159.63607539676786,-103.84551417650268,-174.36919060606408,41.369468251371174,-25.06195715776702,-67.21965230936726,-0.06857340300498023,22.694626458347543,542.4532959274622,209.70821631936928
-133.28858585068147,65.61028378641589,96.3036724295517,-245.5001784748125,-96.5268776299055,-158.12812168621846,-102.35958541394199,-170.36110690277613,44.49043887954611,-25.785469491460766,-66.88685141561432,2.6437331667718054,21.17021452527764,544.0596367815629,210.16048676812395
-132.98893246231728,66.4563871603107,95.93271198901081,-244.38445737162078,-97.94688306609864,-156.5752482709667,-101.10390180950901,-167.06919356906047,47.09117956665,-26.51289543729397,-66.47451525956323,5.1397345096576705,19.955756978089976,545.4890020790364,210.55610321266988
-132.7180666352169,67.30071892664553,95.52045852063678,-243.35177979973986,-99.2008730693575,-155.19058257956303,-99.78318466153434,-164.3728852990736,49.225219221902655,-27.11647151330557,-66.03947352598747,7.300063049875804,18.701005113256613,546.9732450857821,210.9380371211332
