Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z,Trunk_x,Trunk_y,Trunk_z
-180.7496687694174,36.879523421533435,48.60280608598728,-208.59063743168394,-167.5791951611257,-229.45838882951276,-104.62347763459456,-397.8661145397415,-234.22288563664662,-73.90364317500303,-21.820310270986454,-15.321881060028277,40.40432036615312,615.3467130650171,271.2324071102852
-181.85275218535492,24.98005573228082,53.38286794548652,-210.38774275929987,-170.63614001898137,-229.50091104179208,-111.01653517405326,-405.58219908999894,-246.60023883791533,-73.08722093395305,-20.200826515590276,-21.93651845991067,57.35975327147249,608.703587138486,270.99569410047826
-181.51040892040663,27.883442687754005,52.37796642362928,-210.50969749211825,-170.038064012882,-229.11574893077773,-109.96965329354086,-403.95554767648576,-243.24789832484186,-73.15637707800347,-20.69999144932027,-20.500469715508117,53.643752336764955,610.5273832916697,270.94774446893535
-181.70613883419838,26.11303339877103,53.00391835247489,-211.12256957380745,-170.3581185147763,-229.3544508711381,-111.15207176057817,-405.1165093701647,-244.928419272334,-72.92424650010729,-20.488729653530914,-21.710008912764916,56.460657430151215,609.4423226868479,270.85074202273154
-181.663953279139,27.37535384953123,52.319797962889076,-211.51928415364324,-169.7071396978281,-229.84492322595636,-110.77334120112977,-404.1564185710376,-243.2748171237974,-72.83767293011267,-20.624606281377236,-21.424077008967043,54.996321392960546,609.9400092221612,270.80323305782974
-181.90083679149953,26.501674210805003,52.31742208560723,-212.41469617276732,-169.29854603982582,-230.80909088359562,-111.57915558647238,-404.27488354794593,-243.58751279365828,-72.56719890718244,-20.38334719192538,-22.511212850407748,56.46359340844126,609.0297087280939,270.74687748608005
-182.01509307761557,27.409853865768582,51.51657237004797,-213.4822177728949,-168.17700720725827,-231.99384470269595,-111.8622046145075,-402.9890231498921,-241.61755219669865,-72.3636552073138,-20.37537204354786,-22.775363612126863,55.35991672108135,609.0223430858772,270.73480117319576
-182.31238959737777,26.959941990022745,51.14160797074811,-215.03313659006142,-167.128935659689,-233.44596125171174,-113.37551857669493,-402.28894390464245,-240.82339387177228,-72.07180085763534,-20.224067715855565,-23.814736784191545,56.0772276115828,608.1324664998727,270.7343529151189
-182.51839957102536,27.781709540989745,50.202945854704616,-216.60141744550296,-165.5732809620324,-234.95711260683237,-114.68714707228166,-400.55099615300037,-238.66966604312526,-71.89556620467758,-20.345431833617496,-24.055460939754635,54.93589188700238,607.9369193074399,270.7832343082791
-182.846381057119,27.64167352979566,49.57345542562297,-218.15724107415025,-164.1314342412816,-236.592650500821,-116.4542375973748,-399.2337890719942,-237.7215991185557,-71.70787858319167,-20.41993027241322,-24.692659209729168,55.08196567415714,607.1849764210133,270.85922281757286
-183.08999947199183,28.509125000000417,48.51060270324508,-219.2333240221042,-162.39394586955498,-238.29768225878118,-117.10417195661103,-397.1405503598119,-235.87355983265675,-71.57852747258029,-20.698163280676557,-24.777999373067214,53.78477251822309,607.0644673972531,270.98992562841744
-183.4112273372911,28.677998162744892,47.682856962999054,-219.89438236285446,-160.80922737056616,-240.22820297885443,-117.1259968111836,-395.3285654946455,-234.72077500115415,-71.30179605964143,-20.924452460535175,-25.49670706765266,53.474037150973665,606.6170856272427,271.1568734341866
-183.6457052561656,29.714550629203845,46.50642970774009,-220.03668009818043,-158.9717509351861,-242.38863046208886,-115.76245783354688,-392.6704164326244,-232.29143271011054,-70.88198772331256,-21.352850530219154,-26.188860983351972,52.00077207565282,606.7725865337637,271.377922751645
-183.9209296632934,30.26034569035578,45.52707889207414,-220.04140896311452,-157.15436302289925,-244.8435774123485,-114.07714644752714,-389.7951288548698,-229.67743908578242,-70.21491645294343,-21.867711404284282,-27.59193053829743,51.31737592433189,606.7457339614315,271.6328517244655
-184.10116636041084,31.60083944799554,44.28154561516916,-220.08664777842927,-154.98976024655985,-247.43365355052006,-112.01267933723156,-385.71272933273696,-225.11465731613222,-69.44530354697028,-22.732449301065213,-28.761774441895607,49.66477107772019,607.2733330418829,271.93046143230777
-184.29079296450902,32.61344729832479,43.23791944982646,-220.59914497073262,-152.74903566616416,-249.9946286285937,-110.79869442806577,-381.1367936087523,-219.33964234609252,-68.60659500236952,-23.82009090578748,-30.00489446018703,48.64867166186005,607.6819964386036,272.2465825740901
-184.37758276980077,34.35976647995952,42.02395006688314,-221.66614208012047,-150.21561671860195,-252.22380595187488,-110.46827598521247,-375.5584092141034,-210.8497527797201,-67.84328374366696,-25.247378401858455,-30.543080758928753,46.79249341718909,608.5615656469664,272.58160200291024
-184.45203570133387,35.8735574343063,41.04240098609649,-223.44634368869185,-147.68225730009956,-253.9538372870675,-111.7560437570518,-369.7255187492994,-200.58449630048355,-67.12237872008122,-26.81764065572596,-30.899488209314786,45.44182214682053,609.3241769689173,272.90942138457143
-184.42364491646578,38.023965590889,39.978467448390155,-225.7491545335288,-144.94480330169912,-255.07936930003038,-114.00115914012065,-363.00756649682734,-187.9908890778471,-66.48316001834291,-28.61919439082824,-30.685513120615312,43.34357742593361,610.4532623808681,273.2249501440969
-184.37500639736638,39.954477894386834,39.166357983795436,-228.47425411071114,-142.15241266946316,-255.7319793277083,-117.03253302969802,-355.59909145545845,-174.72666049111604,-65.83389331937634,-30.542919299071894,-30.433891066927465,41.6482841151273,611.4385170911828,273.50375537872395
-184.23441937536433,42.37861319715845,38.319256594944775,-231.32704375004855,-139.01193107063906,-256.0958887558873,-119.80630672035433,-346.5540072575219,-160.8813831141404,-65.17100632549435,-32.72396297000927,-29.722195731248163,39.29300001422366,612.689988086871,273.7416055947738
-184.07690179975444,44.538406118915375,37.70358262682433,-234.21208956506925,-135.60160036217752,-256.43072254626446,-122.26281404669913,-335.92733477659783,-147.86347222241412,-64.41079242685515,-35.06876017816595,-28.877780987965753,37.280513045863245,613.7725949332287,273.9201776571325
-183.84388537898514,47.037817419598916,37.051566805783544,-236.93804373641746,-131.73785406800306,-256.86238651521677,-124.01851177740517,-323.1668068497213,-135.23829996082398,-63.58429891545976,-37.62736986330758,-27.48213004479059,34.712779808389584,615.0470024154108,274.04147368366665
-183.60094691771235,49.22522743038542,36.576446979896815,-239.47672573042027,-127.67621938214917,-257.4364385924114,-125.58252586877691,-308.82399184151564,-123.55623784544714,-62.67359128993562,-40.22972437188386,-25.86556614818541,32.473396909583826,616.1486249694301,274.09758355676104
-183.29638895073813,51.635059238320096,36.03776984920284,-241.65510762695908,-123.50711917990749,-258.03757876177696,-126.89515445080089,-292.87952601514183,-111.96452610883102,-61.73098362524959,-42.873464022503526,-23.774990430391895,29.803139958135173,617.4012380235681,274.0990421935519
-182.984783954598,53.72395678214465,35.62014969929936,-243.39254934243849,-119.68112590758648,-258.5288856749873,-128.3134832828775,-275.98394580351646,-100.77663425341701,-60.69531290093785,-45.450578969410564,-21.595335786237833,27.47905858991673,618.5016839994954,274.04799958529605
-182.61904789359428,55.974981641346176,35.12476264548214,-244.4953685323072,-116.40953429607508,-258.73233438351036,-129.53190641373476,-258.03609246205974,-89.35504220507018,-59.52029290161559,-48.04921722582595,-19.14177015297703,24.85365490194092,619.7393937662141,273.9605521103396
-182.24317879469365,57.93722475755211,34.72740366766344,-244.9236935752286,-114.07576620325266,-258.53958960126886,-130.6918096606771,-239.5593374220958,-78.22810972267831,-58.116461431580944,-50.623185452458706,-16.70695308769552,22.601559323839616,620.8599484795516,273.8431835470104
-181.81501209911534,60.03997994345176,34.275680261903155,-244.625573681151,-112.71363651085608,-257.86281542271865,-131.56870382864494,-220.76476013893688,-67.2037849715022,-56.55026268963633,-53.18017441925275,-14.076300897785869,20.16357982717369,622.1144369874789,273.7115205327457
-181.37180139610436,61.90175443195879,33.939575375306916,-243.71979514262162,-112.41369585253264,-256.68929110304873,-132.438063368375,-202.66508631008756,-57.110098131893096,-54.94721289431544,-55.53353940585586,-11.511299937714258,18.11526255540607,623.281859939394,273.569418624582
-180.87830906131694,63.88986301046827,33.603032418270665,-242.28774810538016,-112.95430976674456,-255.01597833625456,-133.17344828974962,-185.80357943136352,-48.00047248440372,-53.489860133009856,-57.60823113497994,-8.907215964132606,15.969964009712475,624.5696687277422,273.42601557403617
-180.36823325667044,65.67282493921837,33.41952040664669,-240.49109889780956,-114.23582762665957,-252.87880127317823,-133.87683231945283,-170.78498984750985,-40.45562937599101,-52.19823163477815,-59.337944119271924,-6.537853398564992,14.210847324510931,625.7783315316362,273.2792291712105
-179.81419956671252,67.55317240745576,33.29052410108958,-238.4072865645753,-115.99954463114503,-250.3003781324586,-134.19077439927457,-157.3020328003566,-34.05934147551123,-50.976616852620396,-60.87931956556477,-4.24067794102784,12.41597912933116,627.0698077557439,273.1312103300769
-179.2475602937815,69.24116877105561,33.3388786670163,-236.1776644857786,-118.16834354326207,-247.33113936767566,-134.05595495337707,-145.2218179956304,-28.76702695938069,-49.64347042994071,-62.34000085208102,-2.1002573520601,10.985523314522224,628.2609774986935,272.9756460776144
-178.64881079653424,70.98072118548714,33.469955716280936,-233.90118976754528,-120.53816805469047,-244.03518332109667,-133.28693707883738,-134.33772808080764,-23.954440439819912,-48.17750271860806,-63.78640335826838,0.08463412058435736,9.558746561758456,629.4738205499475,272.8120537889585
-178.0463102357808,72.52550314692957,33.769933502960896,-231.75145865797103,-123.02216758372023,-240.52615504206545,-132.14996538326193,-125.21103975979493,-19.68364546688155,-46.74136385517879,-65.04441659245295,2.144501101528424,8.461415156242111,630.5462929283317,272.6365745164206
-177.4262566486504,74.0742972702806,34.14228095380742,-229.8461066957193,-125.41575854542337,-236.92309898596508,-130.77968518253314,-118.24442515447818,-15.743850478782464,-45.64047309896044,-65.92929724205993,4.0665405809047295,7.390729951523939,631.5724504304973,272.4530269191639
-176.81296899162496,75.43198681222378,34.6383750727824,-228.3069994154389,-127.66415283440335,-233.3210996162128,-129.4821592113043,-113.63931525715614,-12.390283073826962,-45.03862880141695,-66.31472419062486,5.641475844951589,6.603814693893773,632.4213231370729,272.26559940583365
-176.19752553717305,76.76427318804596,35.163636096159266,-227.15627532749005,-129.7059302165668,-229.73363590647892,-128.29455041362814,-110.61229564090804,-9.390554642032066,-44.86039020952731,-66.33475701714771,6.998432075445257,5.85226900933865,633.1732835968567,272.08651373879314
-175.60039629367154,77.92797574022262,35.742694368876656,-226.39986741656728,-131.65555470682787,-226.10266188066026,-127.38282540955231,-108.16299178448556,-6.661107911805988,-44.81801128945117,-66.20690963662098,8.222929114371611,5.329060973649375,633.7379830817009,271.9285195149147
-175.01728485230169,79.05570206634988,36.29239907656696,-225.98017036217936,-133.59551043566591,-222.3442904526071,-126.75537597813882,-105.4122213756058,-3.7610775549669517,-44.6837440223025,-66.12806479992022,9.555121187530508,4.838537034544016,634.1913245446934,271.8091963433447
-174.46596681836158,80.04667518687266,36.825085729730766,-225.84662525294053,-135.65666102602685,-218.4186067836215,-126.49082302220738,-102.40265514447064,-0.6027089114827614,-44.42589968855157,-66.08777191408942,10.972233791185403,4.51542681262311,634.4851929817629,271.7439075270852
-173.94663081846292,80.99137424974101,37.283501643894354,-225.9170132739039,-137.86641435431267,-214.35743362116892,-126.45894984759039,-99.62808772995685,2.860281696229496,-44.204168893352495,-65.97932125199236,12.423527678199598,4.218341206208228,634.6888543904346,271.74715453418764
-173.47251010730446,81.81919032340382,37.684205180023945,-226.13171023332626,-140.27228103974065,-210.21580779258346,-126.54474571809764,-97.64083629185556,6.330871300945259,-44.16288853584075,-65.69388263519073,13.746962180234053,4.0311575408243225,634.7873268818565,271.8276367792109
-173.04513641519983,82.57423203536923,38.0075415732615,-226.45034549299953,-142.8960944048876,-205.99630977831785,-126.58670805197181,-96.42006000642576,9.651669409945299,-44.3204809049278,-65.24252316610455,14.957447602491397,3.869708947829062,634.8323726695013,271.98906087145946
-172.6692387441014,83.21478022819821,38.28070928236832,-226.90101260941188,-145.8225210033684,-201.5818492867418,-126.56241088843235,-95.60466163302061,12.79669910508031,-44.58769942328092,-64.68288703759711,16.153489270573438,3.7728581150099774,634.8289847153663,272.22851306211214
-172.3426568988083,83.74524592576594,38.51943736139307,-227.56202573327704,-149.12408925135176,-196.77874021969097,-126.50313920913558,-94.84649608161811,16.008106047335435,-44.92440348356618,-64.01668475957737,17.506191929418115,3.7142451044335454,634.8019410952293,272.53671425700713
-172.05894116121164,84.16354721151751,38.75021807160236,-228.53464239080918,-152.83837189749568,-191.40290775032307,-126.49227650270387,-94.18624637286811,19.59729696540368,-45.42160807973194,-63.13213982813214,19.099793412499874,3.6887910278631906,634.7691516876338,272.9000801329884
-171.81305743171407,84.44792488656229,39.00266277264999,-229.8843324920041,-156.90222060677303,-185.4241508612958,-126.6147346758696,-93.96925476266136,23.715070212561784,-46.228757829836375,-61.87590639306351,20.867563330532032,3.723944334779258,634.7278371269788,273.30147536133137
-171.590007548417,84.64627000748395,39.278266919462766,-231.59163786580817,-161.13257407623374,-179.0105280636343,-126.8850177356521,-94.43314428661697,28.338206007601354,-47.36883364489068,-60.23303065702834,22.66986119471745,3.7666511382524464,634.7111999468934,273.7231896644706
