Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-136.45140219635852,73.95178997984526,73.56241089171816,-316.13903096153246,-53.8123442590755,-222.76674981968856,-230.42268476455314,-309.32679825221913,-226.9455264578519,-57.977820559811356,-14.693261131321822,-41.89451903965397
-136.77813655804525,73.05658054172584,73.87175083754444,-316.450200056118,-54.262133085320734,-222.42557136263528,-229.06843380391143,-309.5523907134725,-229.1237567099757,-56.67173594046914,-13.68028803507406,-43.38947085261417
-137.0145622523627,72.54181218354027,74.08379904607389,-318.43479540523947,-52.5500242946622,-222.0607470569844,-227.6216055407432,-307.14435233571464,-226.2930547038429,-55.44622100395401,-14.024591001324781,-44.3679896327354
-137.05587301641884,72.70473426041805,74.13349048002677,-321.6956560198946,-47.140383191457424,-222.60923329434448,-223.2120097004947,-298.72516496791746,-213.17088059899004,-53.76641056105601,-17.651342106052233,-45.139018276660266
-136.84723693067312,73.59575849534346,74.05316097772601,-324.14076861583106,-40.11200154619836,-223.98273962025957,-214.93902255412493,-284.2123417902524,-187.80641759696624,-51.1584595736328,-24.871497052557494,-45.113899279338405
-136.2385443737315,75.43438040890375,73.78263069814318,-323.95773573520535,-35.46058897601402,-225.23820519701707,-204.53504067260178,-265.9675367709617,-154.4387763914567,-47.87997133244259,-33.93160644493351,-42.91058872200543
-135.25364546872487,78.01481629452825,73.34843870120706,-320.7344053942257,-36.6095531651567,-224.92893437539482,-193.7623971976187,-247.40884823902977,-118.39053118236826,-44.871019467443205,-42.81540325688829,-37.93709032423894
-133.93551948829688,81.14922058517007,72.76024553805902,-315.0681803575658,-44.23158248361216,-221.99335120349556,-183.4467083340218,-230.2781448070298,-82.8387350040856,-42.53745043973291,-50.44269531309461,-30.77823739518636
-132.49936448036004,84.30172368449517,72.1322086300672,-308.1844895995866,-57.68781204039926,-215.37819482110208,-173.97319824766709,-215.59636730430495,-49.164785273946414,-40.07865007176647,-56.46593863666887,-23.089583746898853
-131.10085978221096,87.1402472588574,71.48944018707189,-301.4304351007624,-74.30993360668495,-205.68713365485254,-165.98055956320897,-203.2192542926397,-18.87910135678769,-36.925369793574504,-60.89224406088779,-16.22792091937365
-129.9133986745191,89.3542936156049,70.84178112050427,-295.61193801053975,-90.81957932852632,-194.7669824802641,-159.83213508929268,-193.1399630655837,6.743220479477599,-33.91127344707159,-63.85611443001942,-10.164217213695547
-128.9542254449715,91.0478951044495,70.12042868364331,-291.4763815133235,-104.93852802147767,-183.7717792065196,-155.6161124955287,-185.26232565999373,27.21023473937964,-32.11157789197312,-65.41428207493172,-4.472557001558711
-128.22989667624435,92.30966154631341,69.33789232551847,-289.10133898420975,-116.47856491299795,-173.13164987115977,-153.27477551341943,-179.93727058620544,43.39138994651193,-31.600196327922244,-65.78279287525315,0.44055541080913374
-127.67482995372305,93.37083319733767,68.51422133523805,-288.0164195724531,-125.47065627948778,-163.3612430660397,-152.76979239044985,-176.5444545847825,56.58911526948347,-31.482740507873917,-65.68454588047496,4.031046559924635
-127.27606203597405,94.25825050525319,67.73091202322948,-287.69515066085546,-132.66527022135008,-154.5722386581878,-153.5917084605677,-173.95417546528523,68.04062050327053,-31.26956139844985,-65.67045748501872,6.584172635732192
-126.96390145529713,95.04619435834243,67.00409862177384,-287.9100457322272,-138.35265816951383,-146.86673785480906,-155.09129219555567,-170.9325964022516,77.95796668324851,-31.28428419551726,-65.46769304171214,8.872127892349345
-126.68840839034425,95.68965388074912,66.34353083067926,-288.58234685287806,-142.87678227375145,-140.233668522966,-156.8730760923618,-167.5519995014363,86.21821997633289,-31.480552827657423,-65.04107391141874,11.08395908766496
-126.35691177663728,96.27501094999546,65.72128448426533,-289.74636489152476,-146.44851385228336,-134.33896732671502,-158.5896178877801,-164.3435092031321,93.04929124474359,-31.84158226085841,-64.38245660542539,13.236685631289799
-125.94397594647752,96.79242418616747,65.14924954782109,-291.2001366623916,-149.72916686330217,-128.43340463477233,-159.7786340506416,-161.71529165323477,99.44396323631874,-32.27206309629035,-63.666891377439384,15.319923811097269
-125.45844602109382,97.26391382741535,64.6145411629079,-292.51952579194995,-153.24497546092653,-121.72588961805937,-160.35676253958715,-159.31619068940023,106.43341222376573,-32.4544022579912,-63.064549535843454,17.296082061462467
-124.97558270223789,97.59743052122184,64.11059428808154,-293.26516047271747,-157.49931557175609,-113.62675424151705,-160.57794587272488,-157.06709889042304,114.48887228126308,-32.64929609211894,-62.366634915862996,19.529670046969283
-124.54716663002218,97.77984969113805,63.620444595591636,-293.45869101961534,-162.41987645280722,-104.39748744941222,-160.83851915474662,-155.03562172706873,123.41278217580161,-32.97036157399049,-61.56390037040086,21.977575971087184
-124.21846223176561,97.79781076895257,63.17608565519661,-293.4510936013586,-167.5116772688404,-94.85872348412755,-161.38319642601277,-153.3410435434925,132.97170775786785,-33.038572681996534,-60.86858842405448,23.99196731537096
-123.97737051843144,97.74485006897702,62.797425133572375,-293.45621747896985,-172.11578853133682,-85.74901117895405,-161.88516564685307,-151.89849483025478,142.2677789516068,-33.07743628005196,-59.985236262906746,25.64037191377975
-123.77689331734692,97.70989514298391,62.49336991625097,-293.4928730234013,-175.9643888145282,-77.5014891106002,-161.81636192157276,-150.52093453822064,150.09009323268538,-33.66387069186124,-58.70067399242183,27.64723570123329
-123.54605552748961,97.80594132112508,62.2562258701376,-293.6019568064463,-178.77494220001273,-70.43833023379928,-161.55161656531453,-148.78230098778857,156.42662095334526,-34.04891169527995,-57.69529649715848,29.38745618456945
-123.27094807281519,98.06731872147107,62.090326945026845,-293.74205028603603,-180.59320889698768,-64.79121058909587,-161.19265811260237,-146.9462715519976,161.3461606797998,-33.9993964020838,-57.11217059332783,30.46890179584684
-122.99203794480009,98.45247072167835,61.99517051010627,-293.74814518610657,-181.54962733157723,-60.86727245745983,-160.47658955181217,-145.3578592290967,164.41596373021432,-33.9332645263027,-56.79128310336545,31.063815649531517
-122.77119803471619,98.8268201681619,61.966343444334456,-293.4391865088249,-181.83279279399298,-59.016750697606945,-159.40975368461457,-144.2216932980975,165.5080712515262,-33.8587472447966,-56.71058169131922,31.372601030401192
-122.67200614612565,99.06296691796847,61.99191086226662,-292.91472193624014,-181.71442126971607,-59.133553431557225,-158.53079177161106,-143.7188851133551,165.16059359234828,-33.617213241491086,-56.733242228431166,31.602736481101296
-122.7122136096468,99.1123301243355,62.04787951934929,-292.47092464357115,-181.4207651246028,-60.70488383438996,-158.33325746068098,-144.084088876644,163.90856284832967,-33.38675056045941,-56.858401005390554,31.505817567042538
-122.85363177045987,99.01417480589454,62.11132074137678,-292.4625810955354,-180.7233978360006,-63.409646920417266,-158.66720520260375,-145.46266981859625,161.70656380148625,-33.43812243262697,-57.09722306600969,30.91854558108955
-123.01136969253025,98.88667834753254,62.14834593602694,-293.11770864992457,-179.0154982379879,-67.73058451825736,-159.470915417495,-147.66320837778366,157.96302332065184,-33.502839923591466,-57.65395202460806,29.73594644815999
-123.15363666076657,98.81214047902948,62.138898784589536,-294.46387918467406,-175.68627603545394,-74.57714803175212,-161.15729123663908,-150.3512486510806,151.92872726687517,-33.0074590524316,-58.96136186518176,27.56233487320611
-123.31533444230699,98.85405702918189,62.07250504928535,-296.55130940642425,-170.35342611127,-84.5205202223171,-163.85438494903116,-153.32512200125495,142.82419807216243,-32.02114692822223,-60.82975316938438,24.554399639900012
-123.60476183823667,98.98298439022533,61.980869982906526,-299.61070958325246,-162.8720418215723,-97.02065709855046,-167.05671192912803,-156.64522243680722,130.53997923412908,-30.807994080116238,-62.79783815291538,20.643184425992466
-124.07913560005231,99.16194447901032,61.898626915031365,-303.86694211260294,-152.71664063102338,-111.30851111953375,-170.70734321264482,-160.28401692141026,115.56227866415938,-29.319545339206556,-64.81754523986062,15.119451556552024
-124.74588498629193,99.24664090995563,61.90792588551366,-309.3959326350722,-139.2021616276871,-127.13347130327617,-175.83257395529512,-164.44022064665737,97.94862539463719,-28.347182750548303,-66.3437768137717,8.395096030730846
-125.48051085055862,99.1174124604351,62.138897209353736,-315.64944155288356,-122.95534528900961,-143.66613134444262,-182.9808302294285,-170.2144177668092,77.89160555396705,-29.35220511096179,-66.38535267745156,2.049707444410941
-126.11698650109759,98.58329253959592,62.82990150517079,-321.13711211154225,-106.99985852684132,-158.03968558079825,-191.3675038935689,-179.67853654983486,57.980545771172444,-32.89031472860119,-64.49631974568364,-3.254098312151752
-126.51489967563529,97.55436076013201,64.16022332730486,-324.8728130049857,-93.92690925236546,-167.88230861748028,-200.64512996490495,-194.4899995556109,40.581398757077984,-37.282333083406925,-61.235492261221424,-9.182394998290526
-126.75141115371719,95.97181400268431,66.0721350125357,-328.0967344544631,-84.00214628807292,-173.54049422008103,-210.80870318241404,-215.52783205360038,22.696736756232855,-40.714641805932786,-57.237090312486586,-17.109495621134613
-126.97074914836526,94.0849452477577,68.16200678489948,-332.2877503137374,-76.01841613054205,-176.96994149965943,-220.8088282449692,-241.89047255996493,-2.2199649113487645,-43.5780057513343,-51.74022011378659,-25.830572457573084
