sternoclavicular_r2,sternoclavicular_r3,unrotscap_r3,unrotscap_r2,acromioclavicular_r2,acromioclavicular_r3,acromioclavicular_r1,unrothum_r1,unrothum_r3,unrothum_r2,elv_angle,shoulder_elv,shoulder1_r2,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,cmc_abduction,cmc_flexion,mp_flexion,ip_flexion,mcp2_flexion,mcp2_abduction,pm2_flexion,md2_flexion,mcp3_flexion,mcp3_abduction,pm3_flexion,md3_flexion,mcp4_flexion,mcp4_abduction,pm4_flexion,md4_flexion,mcp5_flexion,mcp5_abduction,pm5_flexion,md5_flexion,time
-4.547473508864641e-13,-2.2509993868879974e-11,-1.7621914483574983,1.6977284760960174,1.8434564988783677,-0.5305318683376186,1.5806504757613595,2.992479793180536,0.3036514423715744,-6.9232908426592985,-5.910818008338765,0.997423306393614,-6.024013877181915,-6.024013877694145,-2.412139168153505,-0.2373548720330465,-3.320260733019609e-14,2.2815083156046967e-14,3.3306690738754696e-16,-1.3877787807814457e-16,-1.3877787807814457e-17,-4.163336342344337e-17,-0.05048508771945056,0.07054318977140758,-3.5128150388530344e-16,-1.5959455978986625e-16,0.0003454074114342537,0.0007694602889966561,1.2836953722228372e-16,-1.1275702593849246e-16,0.0006403144972581265,0.0012984800131582487,-4.163336342344337e-17,-1.3704315460216776e-16,0.0002385313894285937,-0.00047513014215279023,-0.00020987964196019816,-1.1796119636642288e-16,0.0
4.547473508864641e-13,1.1482370609883219e-11,-1.7706984864227593,1.7086314605398911,1.8553652637851883,-0.5356332842735014,1.586551592052075,3.0466659671248806,0.33641234089640193,-6.958070583847075,-5.923600343603084,1.011854944545803,-6.038625997052122,-6.038625996980677,-2.327948335783333,-0.27476036726313247,1.2420620087993939e-15,-5.689893001203927e-15,-5.551115123125783e-16,5.551115123125783e-17,-6.245004513516506e-17,4.163336342344337e-17,-0.050485087719452953,0.07054318977140941,7.28583859910259e-17,-4.336808689942018e-17,0.00034540741143423287,0.0007694602889961391,-2.2898349882893854e-16,-6.591949208711867e-17,0.0006403144972582653,0.0012984800131582265,-3.469446951953614e-17,1.0061396160665481e-16,0.0002385313894285937,-0.00047513014215263064,-0.00020987964196008194,-6.938893903907228e-17,0.005
9.094947017729282e-13,6.195932655828074e-12,-1.7740936729614987,1.7132838462639484,1.860466397295113,-0.5379140747106135,1.588586239659918,3.0636977373103207,0.3427810675261753,-6.987768398602839,-5.946754297379357,1.0169774786761536,-6.062881046686243,-6.062881046529476,-2.2795052914153224,-0.29639722467600116,6.13398221105399e-15,-4.093947403305265e-15,8.326672684688674e-17,2.185751579730777e-16,1.1741909528018013e-16,8.673617379884035e-18,-0.05048508771945083,0.07054318977140972,5.220433460517704e-17,-9.540979117872439e-18,0.0003454074114345451,0.0007694602889967983,-5.204170427930421e-17,1.9081958235744878e-17,0.0006403144972583139,0.0012984800131591034,0.0,5.204170427930421e-18,0.00023853138942826063,-0.00047513014215280064,-0.0002098796419599848,0.0,0.01
-4.547473508864641e-13,-1.1482370609883219e-11,-1.7754322053358464,1.715413469633404,1.862818585862442,-0.53904620631954,1.5890805845757257,3.0665108115081523,0.3423243946335788,-7.008499461104293,-5.966224109141422,1.0199615051192836,-6.083167315466881,-6.083167315717034,-2.2507358181185957,-0.31045914930083995,-1.6514567491299204e-15,7.494005416219807e-16,-6.591949208711867e-17,6.245004513516506e-17,7.025630077706069e-17,6.852157730108388e-17,-0.050485087719450414,0.07054318977140803,-2.5153490401663703e-17,1.6479873021779667e-17,0.00034540741143414266,0.0007694602889966075,-7.632783294297951e-17,-1.3877787807814457e-17,0.0006403144972584249,0.0012984800131586073,-2.0816681711721685e-17,-1.3877787807814457e-17,0.00023853138942824675,-0.0004751301421526315,-0.0002098796419598599,7.806255641895632e-18,0.015
-1.3642420526593924e-12,-9.492850949754938e-12,-1.7759970933184945,1.7165803274660902,1.8641206214633712,-0.5397316908979519,1.5890107896440497,3.064449261642608,0.3416552509227131,-7.021774277250188,-5.9796310898727825,1.0231686410255634,-6.097286772926282,-6.097286772830973,-2.23334465152562,-0.3197047364867638,-1.6153745008296028e-14,-6.8833827526759706e-15,-1.9081958235744878e-17,1.249000902703301e-16,2.6020852139652106e-17,-3.165870343657673e-17,-0.050485087719451,0.07054318977140943,4.683753385137379e-17,2.7755575615628914e-17,0.00034540741143414266,0.0007694602889964236,3.8163916471489756e-17,1.3877787807814457e-17,0.0006403144972582514,0.0012984800131586437,1.0061396160665481e-16,7.28583859910259e-17,0.00023853138942810104,-0.00047513014215287024,-0.0002098796419600056,-3.469446951953614e-17,0.02
4.547473508864641e-13,3.922195901395753e-12,-1.776300782772239,1.717405181826507,1.8650484891595625,-0.5402496592977855,1.58876780367072,3.060952486373367,0.34231272881265795,-7.029896005485625,-5.988026247267726,1.0270394092145523,-6.106355072112592,-6.106355072366778,-2.2227947218239947,-0.32566843896640396,1.0047518372857667e-14,-7.216449660063518e-16,6.938893903907228e-17,2.914335439641036e-16,5.898059818321144e-17,1.0408340855860843e-17,-0.05048508771945075,0.07054318977140958,7.37257477290143e-17,-1.8214596497756474e-17,0.0003454074114342745,0.0007694602889967428,8.673617379884035e-17,2.862293735361732e-17,0.0006403144972584804,0.0012984800131586646,-6.938893903907228e-17,-6.418476861114186e-17,0.00023853138942861452,-0.0004751301421535665,-0.00020987964196012704,1.734723475976807e-18,0.025
-9.094947017729282e-13,3.581135388230905e-12,-1.7765485849924971,1.7181347005666794,1.8658707506651808,-0.5407105523182167,1.5885096697113283,3.057226726599197,0.34426849939609383,-7.034741114307508,-5.992962391156425,1.031448863090418,-6.111945746235278,-6.111945746159922,-2.216468156601035,-0.3294353775918166,7.174816296640074e-15,5.2735593669694936e-15,-7.632783294297951e-17,-5.551115123125783e-17,3.8163916471489756e-17,-2.6020852139652106e-18,-0.050485087719454744,0.07054318977141297,-5.204170427930421e-17,2.42861286636753e-17,0.00034540741143399695,0.0007694602889968191,-2.0816681711721685e-17,-3.8163916471489756e-17,0.0006403144972590702,0.0012984800131591381,2.0816681711721685e-16,-2.42861286636753e-17,0.00023853138942842717,-0.00047513014215325427,-0.0002098796419598807,5.204170427930421e-18,0.03
1.3642420526593924e-12,3.751665644813329e-12,-1.7768264983948256,1.7188704367413266,1.8666978722940257,-0.5411591356116219,1.5883042064849633,3.0536804090819203,0.3471462559579095,-7.037618758032295,-5.995714235650212,1.03617142746603,-6.115338555716562,-6.115338555939729,-2.21281646382387,-0.33176782633867763,8.03523914072457e-15,-6.716849298982197e-15,-4.0939474033052647e-16,1.249000902703301e-16,3.122502256758253e-17,-2.1467203015212988e-17,-0.050485087719452676,0.07054318977141028,1.700029006457271e-16,2.2551405187698492e-17,0.0003454074114341288,0.0007694602889966387,-5.898059818321144e-17,6.071532165918825e-17,0.000640314497258522,0.001298480013158871,6.938893903907228e-18,5.204170427930421e-17,0.00023853138942880187,-0.00047513014215307863,-0.00020987964195998826,3.469446951953614e-18,0.035
0.0,9.208633855450898e-12,-1.7771727093301593,1.719655611764665,1.8675767946128872,-0.5416139321720834,1.5881831039049246,3.0504476329784893,0.35058070095936955,-7.039387576716763,-5.997179270806328,1.0410087961953423,-6.1174306696284475,-6.117430669644897,-2.2109161025142363,-0.33317608699376233,7.702172233337023e-15,-1.1129985821867194e-14,-5.620504062164855e-16,-9.71445146547012e-17,2.7755575615628914e-17,1.235990476633475e-17,-0.05048508771944987,0.07054318977140894,1.4137996329210978e-16,-9.540979117872439e-18,0.00034540741143406634,0.0007694602889967844,9.71445146547012e-17,-3.729655473350135e-17,0.000640314497257842,0.0012984800131586524,2.0816681711721685e-17,1.5612511283791264e-17,0.00023853138942845492,-0.0004751301421528102,-0.0002098796419598599,-4.683753385137379e-17,0.04
1.8189894035458565e-12,-1.1880274541908875e-11,-1.7776062919772926,1.7205103975179554,1.8685293131302387,-0.5420829001091079,1.5881637455879059,3.0475745226274853,0.35429382333103376,-7.040596934246878,-5.9979524554266845,1.045811061330994,-6.118814968868719,-6.11881496899403,-2.2102167090865983,-0.3339888798383175,4.718447854656915e-16,-3.4139358007223564e-15,1.6653345369377348e-16,1.249000902703301e-16,2.1510571102112408e-16,2.6237692574149207e-17,-0.05048508771945251,0.07054318977141183,-3.0357660829594124e-17,1.9949319973733282e-17,0.00034540741143414266,0.0007694602889965554,2.42861286636753e-17,-5.551115123125783e-17,0.0006403144972585428,0.0012984800131590722,-4.85722573273506e-17,-8.673617379884035e-18,0.0002385313894286284,-0.00047513014215299926,-0.00020987964196014786,1.734723475976807e-18,0.045
