sternoclavicular_r2,sternoclavicular_r3,unrotscap_r3,unrotscap_r2,acromioclavicular_r2,acromioclavicular_r3,acromioclavicular_r1,unrothum_r1,unrothum_r3,unrothum_r2,elv_angle,shoulder_elv,shoulder1_r2,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,cmc_abduction,cmc_flexion,mp_flexion,ip_flexion,mcp2_flexion,mcp2_abduction,pm2_flexion,md2_flexion,mcp3_flexion,mcp3_abduction,pm3_flexion,md3_flexion,mcp4_flexion,mcp4_abduction,pm4_flexion,md4_flexion,mcp5_flexion,mcp5_abduction,pm5_flexion,md5_flexion,time
-0.15505496946241606,3.8875863700889073,-2.2434656092913685,-0.0910846868888233,-0.0300103303995789,-0.280665174939037,2.502154403664288,2.98977136108858,0.19697311549475316,-0.5565901038791778,0.1303730454724777,-0.6651395651156893,0.04987904028816864,0.04987904028816912,2.5555841860358517,-0.1276397143657133,0.08822485968151059,-0.08175799673732487,0.0083098514671061,-0.001772298515023074,0.0023807838275665977,0.00032705932985185523,-0.001746572584944081,0.0018196601346559815,-0.0003747603445757603,0.0,-0.0012550194670134483,0.0017228118351761482,-0.0003730227485019867,0.0,-0.0008108503450323344,0.00192301595583445,-0.00017757295141887074,4.336808689942018e-19,-0.00022156744155015125,0.0009559774825683518,-3.3585693241806446e-05,2.168404344971009e-19,0.0
-0.1555573950215674,3.8895068041398457,-2.241608042063321,-0.0911175433277689,-0.030345805723506314,-0.28131916428758164,2.50189075951883,2.989201710952277,0.19623887232752546,-0.5554647958807664,0.13047755009909268,-0.6708182290679674,0.050063545966158085,0.05006354596615748,2.555413711436837,-0.13566885925585015,0.06909408017729932,-0.09670646625195378,0.007545261827920323,-0.0027227931632105157,0.0020854196066031287,0.0002909113169627989,-0.002034157472455604,0.0014725368429879815,-0.000414908119667462,-8.673617379884035e-19,-0.0015703859541707534,0.0014535229309915222,-0.0004361710261527943,-8.673617379884035e-19,-0.0012081453073136753,0.001727124954090057,-0.0002540555693926472,0.0,-0.00043575859397215755,0.0008875527358329048,-6.835057528284047e-05,0.0,0.005
-0.15581269263993386,3.890716784417988,-2.2404393262232793,-0.0910014117956996,-0.0304391542988246,-0.28119155305084176,2.5016161965792407,2.9885450453368403,0.19655685089296382,-0.5548936420385708,0.13073402885777718,-0.6723654421130605,0.05002649599867179,0.050026495998672135,2.555036649534196,-0.13805432182874755,0.05585370311527569,-0.10402562769341694,0.006939147655980143,-0.0032310568698614064,0.0018683847003661876,0.00026353754744228063,-0.0021751794827074115,0.001229566497085154,-0.00043178603953937696,8.673617379884035e-19,-0.0017372143535539716,0.0012570211830322253,-0.00046698310484930873,0.0,-0.0014327187177890707,0.0015683328785159219,-0.0002968190403999163,0.0,-0.000560638304002355,0.0008250327623163523,-8.862929285824352e-05,2.168404344971009e-19,0.01
-0.15595694987888908,3.891550464979152,-2.2396374069177285,-0.09082333510175651,-0.03040857182804746,-0.28086689172104595,2.501360868039172,2.987886989439402,0.1971730465340351,-0.5545286257276447,0.13103870226068648,-0.6723775703308998,0.049890806540814264,0.04989080654081355,2.5546507804182026,-0.13850376489911997,0.047339100861469224,-0.10769649753327615,0.006523161098975405,-0.003506543592403195,0.0017245492105769141,0.0002451335179850559,-0.0022460357062588296,0.0010723952600832712,-0.0004389085560485874,-8.673617379884035e-19,-0.0018269130197488444,0.0011271857174123458,-0.0004823879069466748,0.0,-0.0015599068297128676,0.0014582526441580534,-0.00032084164287588327,0.0,-0.0006329560158266165,0.0007796222320977705,-0.00010037639486424818,0.0,0.015
-0.1560544159162702,3.8922178948875534,-2.2389971004188003,-0.09062390069079056,-0.03032420493082766,-0.2805065715899424,2.5011069087816367,2.9872339654177362,0.19785417368246394,-0.5542450697256781,0.1313467843353638,-0.6718442367738051,0.04970654289529626,0.04970654289529604,2.55430971999507,-0.13839697217637903,0.04202773612475401,-0.10961590051680781,0.006254399908747795,-0.003659883655937198,0.0016333416936082658,0.0002333714711795935,-0.002283162759088672,0.0009740316909256294,-0.00044201894397086043,-8.673617379884035e-19,-0.0018765936099192845,0.0010449518219016619,-0.0004904226951978723,-8.673617379884035e-19,-0.0016330985133428018,0.0013867224224413718,-0.00033458568373600714,-8.673617379884035e-19,-0.0006752150582970563,0.0007494216857546303,-0.00010724211900924908,2.168404344971009e-19,0.02
-0.1561348729361472,3.8928413313759047,-2.23839792353949,-0.09042209661722442,-0.030226073371086404,-0.2801287222038069,2.5008308523545515,2.986573550139794,0.19855208392177826,-0.5540059613252758,0.131638649493898,-0.67110835842543,0.049492523038784195,0.049492523038784306,2.5540249897472913,-0.1381894617271573,0.0387576400151626,-0.11066148212381344,0.00608559625636789,-0.003747389498696933,0.00157667229043948,0.00022602964702869146,-0.002303436099979062,0.0009133598115672378,-0.00044344549301564284,0.0,-0.0019048870193653367,0.0009938634123549308,-0.0004947925679027031,0.0,-0.0016759121625864563,0.001341620018798284,-0.0003425933225486809,0.0,-0.0007001883562792587,0.0007301302904774327,-0.00011129982238442752,0.0,0.025
-0.15621266926014235,3.893491373254124,-2.237769869464752,-0.09022742105127503,-0.03013738889590656,-0.27971397524169994,2.500514274519879,2.9858930992911645,0.1992729037537937,-0.5538043411188562,0.13190493952987958,-0.67027831147493,0.049255646190474046,0.04925564619047346,2.5537974069122447,-0.1380094501467527,0.03675533627751479,-0.111250531170628,0.005981029565556753,-0.0037983141690293813,0.0015417984099634864,0.00022149860723781742,-0.002314886962185285,0.0008761720531907588,-0.00044413621806890444,8.673617379884035e-19,-0.001921356316318245,0.000962408099301244,-0.0004972525069607148,8.673617379884035e-19,-0.0017012885107871543,0.0013135975763792027,-0.00034732688062478166,0.0,-0.0007150892870815134,0.0007180504003773177,-0.00011372099772159663,0.0,0.03
-0.15629515439264202,3.8942108067959795,-2.237070270712657,-0.09004532770860157,-0.030072517045414693,-0.2792381289572159,2.5001434653513748,2.985182738683462,0.20003398231359215,-0.5536427960168834,0.13214003515353262,-0.669381801503036,0.048998052965424505,0.04899805296542449,2.553626148243146,-0.13787949930266585,0.03553137307999801,-0.11159124963234868,0.005916669927189337,-0.003828416842350836,0.0015204213020483183,0.0002187161542048509,-0.0023215256256040387,0.0008534270779623774,-0.00044448959944091114,8.673617379884035e-19,-0.0019311027597501106,0.000943114152041802,-0.0004986749790514815,0.0,-0.001716485517718122,0.0012963122445419726,-0.00035015666241335584,0.0,-0.0007240510073167356,0.0007105630651415562,-0.00011517712748391421,2.168404344971009e-19,0.035
-0.1563863481678463,3.8950258240045064,-2.236272891531701,-0.08987935298918215,-0.030040762225393647,-0.27868104428648044,2.499709254198388,2.984436318232988,0.20085124525928677,-0.553526186864753,0.13233999439221952,-0.6684216153355127,0.048720265246405804,0.048720265246405804,2.5535112643672804,-0.13779301467151484,0.034782668611479536,-0.11179296518313775,0.005877134821598596,-0.003846493512283288,0.0015073186949758582,0.00021700909602736032,-0.0023254588902000134,0.0008395082080577196,-0.0004446816821565523,8.673617379884035e-19,-0.0019369514735063653,0.0009312894078151619,-0.0004995166603532306,0.0,-0.0017256706105015472,0.001285686664916139,-0.0003518652401263613,0.0,-0.0007294814084720762,0.000705948906897411,-0.00011605949882246593,2.168404344971009e-19,0.04
-0.15648870716265173,3.895953450017415,-2.2353605961492087,-0.08973219470464078,-0.03004875920861305,-0.278027096806146,2.4992054108850192,2.98365032338952,0.2017370587834324,-0.5534598041086536,0.1325013840233915,-0.6673936349062433,0.04842206292366037,0.048422062923659664,2.5534538764258645,-0.13773860085001,0.034323417676386886,-0.11191570864029188,0.005852812638297532,-0.0038575958127829834,0.0014992584649147177,0.00021595912753810936,-0.0023278436120620707,0.0008309655135426775,-0.0004447951260039863,0.0,-0.0019405150173553223,0.0009240340104395301,-0.0005000276469551822,8.673617379884035e-19,-0.0017312817140592088,0.0012791680679671014,-0.00035290878604027354,0.0,-0.0007328025087438971,0.0007031192478937579,-0.00011659923264119906,-2.168404344971009e-19,0.045
