 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-186.467,355.444,30.3513,-260.101,340.316,21.2489,-272.286,469.063,27.7262,-266.495,392.934,30.7819,-219.902,406.574,48.6826,-215.276,479.219,32.7438,,,,-289.517,580.839,-17.3831,-258.202,591.07,102.987,-244.787,589.626,155.005,-228.099,600.35,212.527,-200.286,556.425,212.836,-227.295,556.985,157.628,-243.371,558.608,108.388,-159.493,659.489,292.475,-124.799,562.76,251.295,-144.57,596.14,293.193,-13.945,541.512,191.48,-12.1923,546.066,213.576,25.7093,548.532,211.761,17.6201,542.167,187.026
-186.469,355.443,30.3554,-260.103,340.316,21.2482,-272.284,469.063,27.7174,-266.496,392.935,30.7811,-219.903,406.576,48.6802,-215.274,479.219,32.7341,,,,-289.513,580.836,-17.3997,-258.204,591.071,102.969,-244.795,589.631,154.992,-228.104,600.354,212.527,-200.297,556.434,212.844,-227.303,556.992,157.62,-243.375,558.61,108.373,-159.495,659.502,292.489,-124.801,562.763,251.315,-144.569,596.152,293.211,-13.9574,541.519,191.494,-12.2059,546.076,213.584,25.6953,548.545,211.771,17.6102,542.177,187.036
-186.471,355.443,30.3592,-260.104,340.316,21.2473,-272.282,469.063,27.7084,-266.497,392.936,30.78,-219.903,406.577,48.6775,-215.273,479.219,32.7248,,,,-289.508,580.834,-17.416,-258.207,591.073,102.951,-244.804,589.637,154.979,-228.109,600.358,212.527,-200.307,556.442,212.852,-227.312,556.999,157.612,-243.38,558.612,108.36,-159.498,659.514,292.502,-124.803,562.767,251.334,-144.569,596.163,293.227,-13.9697,541.526,191.506,-12.2196,546.086,213.592,25.6814,548.557,211.781,17.6004,542.188,187.046
-186.473,355.442,30.3627,-260.106,340.316,21.2461,-272.281,469.064,27.6993,-266.498,392.937,30.7785,-219.903,406.578,48.6746,-215.271,479.219,32.7158,,,,-289.504,580.832,-17.432,-258.209,591.075,102.934,-244.812,589.643,154.968,-228.113,600.362,212.526,-200.317,556.449,212.86,-227.32,557.006,157.605,-243.384,558.615,108.348,-159.502,659.526,292.513,-124.805,562.771,251.352,-144.57,596.174,293.242,-13.9818,541.534,191.518,-12.2332,546.096,213.6,25.6675,548.57,211.791,17.5907,542.198,187.055
-186.475,355.441,30.3659,-260.107,340.316,21.2447,-272.28,469.064,27.6901,-266.499,392.939,30.7768,-219.904,406.58,48.6715,-215.27,479.22,32.7071,,,,-289.499,580.83,-17.4477,-258.212,591.078,102.918,-244.82,589.649,154.958,-228.117,600.366,212.526,-200.327,556.457,212.868,-227.328,557.013,157.598,-243.389,558.617,108.337,-159.506,659.539,292.522,-124.807,562.775,251.368,-144.571,596.185,293.255,-13.9937,541.542,191.529,-12.2468,546.106,213.606,25.6536,548.583,211.801,17.5811,542.208,187.064
-186.477,355.441,30.3689,-260.109,340.316,21.243,-272.279,469.065,27.6809,-266.5,392.941,30.7749,-219.904,406.581,48.6682,-215.27,479.22,32.6988,,,,-289.494,580.829,-17.463,-258.215,591.081,102.903,-244.829,589.655,154.949,-228.121,600.369,212.526,-200.336,556.464,212.876,-227.337,557.02,157.593,-243.394,558.62,108.327,-159.51,659.551,292.531,-124.81,562.779,251.383,-144.573,596.196,293.268,-14.0055,541.55,191.54,-12.2604,546.116,213.613,25.6398,548.595,211.81,17.5715,542.218,187.072
-186.479,355.44,30.3715,-260.111,340.317,21.241,-272.279,469.066,27.6715,-266.501,392.943,30.7726,-219.905,406.583,48.6647,-215.27,479.22,32.6909,,,,-289.489,580.829,-17.478,-258.217,591.084,102.888,-244.837,589.661,154.94,-228.124,600.372,212.525,-200.345,556.471,212.883,-227.345,557.026,157.589,-243.399,558.624,108.317,-159.516,659.563,292.538,-124.814,562.783,251.396,-144.576,596.208,293.279,-14.0171,541.558,191.549,-12.2741,546.126,213.618,25.626,548.607,211.818,17.562,542.228,187.08
-186.481,355.439,30.374,-260.114,340.317,21.2387,-272.279,469.067,27.6622,-266.503,392.945,30.77,-219.905,406.584,48.661,-215.27,479.221,32.6835,,,,-289.485,580.828,-17.4927,-258.22,591.089,102.875,-244.845,589.668,154.933,-228.128,600.374,212.525,-200.353,556.477,212.891,-227.353,557.033,157.585,-243.405,558.627,108.309,-159.522,659.576,292.543,-124.817,562.787,251.409,-144.579,596.219,293.288,-14.0286,541.566,191.558,-12.2877,546.136,213.623,25.6123,548.619,211.826,17.5526,542.239,187.088
-186.484,355.438,30.3761,-260.116,340.318,21.2362,-272.279,469.069,27.6528,-266.504,392.947,30.7671,-219.906,406.586,48.6572,-215.271,479.221,32.6764,,,,-289.48,580.829,-17.5069,-258.224,591.093,102.862,-244.853,589.674,154.926,-228.13,600.376,212.524,-200.361,556.483,212.898,-227.361,557.039,157.582,-243.41,558.631,108.302,-159.528,659.588,292.547,-124.822,562.792,251.419,-144.582,596.23,293.297,-14.0398,541.575,191.567,-12.3013,546.146,213.628,25.5985,548.631,211.834,17.5433,542.249,187.095
-186.486,355.437,30.378,-260.119,340.319,21.2334,-272.28,469.071,27.6433,-266.506,392.949,30.7639,-219.907,406.588,48.6531,-215.272,479.222,32.6699,,,,-289.475,580.83,-17.5208,-258.227,591.098,102.85,-244.861,589.681,154.921,-228.133,600.378,212.523,-200.368,556.489,212.905,-227.369,557.045,157.58,-243.416,558.636,108.295,-159.535,659.6,292.55,-124.826,562.796,251.429,-144.587,596.241,293.304,-14.0509,541.583,191.574,-12.315,546.155,213.632,25.5849,548.642,211.842,17.5341,542.258,187.102
-186.488,355.436,30.3797,-260.122,340.321,21.2304,-272.282,469.072,27.6339,-266.508,392.952,30.7604,-219.908,406.589,48.649,-215.273,479.222,32.6638,,,,-289.47,580.831,-17.5343,-258.231,591.103,102.839,-244.869,589.687,154.916,-228.135,600.38,212.521,-200.375,556.495,212.912,-227.376,557.051,157.578,-243.421,558.64,108.29,-159.543,659.612,292.551,-124.831,562.801,251.437,-144.591,596.252,293.31,-14.0619,541.592,191.581,-12.3286,546.165,213.636,25.5712,548.654,211.849,17.5249,542.268,187.108
-186.49,355.435,30.3811,-260.125,340.322,21.227,-272.284,469.074,27.6246,-266.51,392.955,30.7566,-219.909,406.591,48.6447,-215.276,479.223,32.6582,,,,-289.466,580.832,-17.5473,-258.234,591.109,102.829,-244.877,589.694,154.912,-228.137,600.381,212.52,-200.382,556.5,212.918,-227.384,557.057,157.578,-243.427,558.645,108.285,-159.552,659.624,292.552,-124.836,562.806,251.443,-144.597,596.262,293.315,-14.0726,541.601,191.587,-12.3422,546.175,213.639,25.5576,548.665,211.856,17.5158,542.278,187.114
-186.493,355.434,30.3823,-260.128,340.324,21.2234,-272.286,469.077,27.6153,-266.512,392.958,30.7525,-219.91,406.593,48.6403,-215.278,479.224,32.6532,,,,-289.461,580.834,-17.5599,-258.238,591.114,102.819,-244.885,589.7,154.909,-228.138,600.382,212.518,-200.388,556.505,212.925,-227.392,557.063,157.578,-243.433,558.649,108.282,-159.561,659.636,292.55,-124.841,562.811,251.449,-144.603,596.273,293.318,-14.0832,541.61,191.593,-12.3558,546.185,213.641,25.5441,548.676,211.862,17.5068,542.288,187.119
-186.496,355.433,30.3834,-260.132,340.326,21.2196,-272.289,469.079,27.6062,-266.515,392.96,30.7481,-219.912,406.595,48.6358,-215.281,479.225,32.6487,,,,-289.457,580.837,-17.572,-258.242,591.121,102.811,-244.893,589.707,154.907,-228.14,600.383,212.516,-200.394,556.51,212.93,-227.399,557.068,157.578,-243.439,558.654,108.279,-159.57,659.648,292.548,-124.847,562.816,251.453,-144.609,596.284,293.321,-14.0936,541.62,191.597,-12.3693,546.194,213.643,25.5306,548.687,211.869,17.4979,542.298,187.125
-186.498,355.432,30.3843,-260.136,340.328,21.2155,-272.292,469.081,27.5971,-266.517,392.964,30.7435,-219.914,406.597,48.6313,-215.285,479.226,32.6449,,,,-289.453,580.839,-17.5836,-258.247,591.127,102.803,-244.901,589.713,154.905,-228.14,600.383,212.514,-200.399,556.514,212.936,-227.407,557.073,157.58,-243.445,558.659,108.277,-159.581,659.66,292.543,-124.854,562.821,251.455,-144.617,596.294,293.321,-14.1038,541.629,191.601,-12.3829,546.204,213.644,25.5171,548.698,211.874,17.489,542.307,187.129
-186.501,355.431,30.385,-260.14,340.33,21.2111,-272.296,469.084,27.5883,-266.521,392.967,30.7386,-219.916,406.599,48.6268,-215.289,479.227,32.6417,,,,-289.449,580.842,-17.5947,-258.251,591.133,102.796,-244.909,589.72,154.905,-228.141,600.383,212.511,-200.404,556.518,212.941,-227.414,557.078,157.582,-243.452,558.664,108.276,-159.592,659.672,292.538,-124.86,562.826,251.456,-144.625,596.305,293.321,-14.1138,541.639,191.605,-12.3964,546.214,213.645,25.5038,548.708,211.88,17.4803,542.317,187.134
-186.505,355.43,30.3857,-260.145,340.332,21.2065,-272.301,469.087,27.5797,-266.524,392.97,30.7334,-219.919,406.601,48.6223,-215.293,479.228,32.6391,,,,-289.445,580.846,-17.6053,-258.256,591.14,102.79,-244.916,589.726,154.905,-228.141,600.382,212.507,-200.409,556.521,212.946,-227.421,557.083,157.584,-243.458,558.67,108.275,-159.603,659.684,292.531,-124.867,562.832,251.456,-144.633,596.315,293.319,-14.1237,541.649,191.607,-12.4099,546.223,213.645,25.4905,548.719,211.885,17.4716,542.327,187.138
-186.508,355.429,30.3862,-260.149,340.335,21.2016,-272.305,469.09,27.5713,-266.528,392.974,30.728,-219.922,406.604,48.6178,-215.298,479.229,32.6373,,,,-289.442,580.849,-17.6153,-258.26,591.147,102.785,-244.924,589.732,154.905,-228.142,600.381,212.504,-200.413,556.525,212.95,-227.428,557.087,157.587,-243.465,558.675,108.276,-159.615,659.695,292.523,-124.875,562.837,251.454,-144.642,596.326,293.316,-14.1333,541.659,191.609,-12.4233,546.233,213.645,25.4772,548.729,211.889,17.4631,542.336,187.142
-186.512,355.428,30.3868,-260.154,340.338,21.1966,-272.311,469.093,27.5633,-266.532,392.977,30.7224,-219.925,406.606,48.6134,-215.304,479.23,32.6361,,,,-289.439,580.853,-17.6247,-258.265,591.153,102.781,-244.931,589.738,154.906,-228.141,600.38,212.499,-200.417,556.528,212.954,-227.435,557.091,157.591,-243.471,558.68,108.277,-159.628,659.707,292.513,-124.883,562.843,251.451,-144.652,596.336,293.311,-14.1428,541.669,191.611,-12.4367,546.242,213.645,25.4641,548.739,211.894,17.4546,542.346,187.145
-186.516,355.428,30.3874,-260.16,340.341,21.1914,-272.317,469.096,27.5556,-266.536,392.981,30.7166,-219.929,406.608,48.6092,-215.31,479.232,32.6358,,,,-289.436,580.857,-17.6335,-258.271,591.16,102.777,-244.939,589.743,154.908,-228.141,600.379,212.494,-200.42,556.531,212.957,-227.441,557.095,157.595,-243.478,558.685,108.278,-159.641,659.718,292.502,-124.891,562.849,251.447,-144.662,596.346,293.306,-14.1521,541.679,191.611,-12.4501,546.252,213.643,25.451,548.749,211.898,17.4463,542.355,187.148
