 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-234.447,234.147,38.1072,-307.758,230.322,24.8291,-330.301,440.117,68.0765,-298.707,352.393,59.0647,-261.489,355.897,46.0493,-293.727,448.838,67.4864,,,,-364.342,510.377,41.734,-315.184,560.934,108.525,-295.541,583.205,135.622,-276.392,599.978,161.068,-258.887,563.662,172.67,-274.188,547.051,144.372,-298.454,523.943,115.972,-138.228,715.748,303.179,-126.893,598.341,275.213,-139.856,641.774,319.186,6.26555,534.429,223.161,7.27267,544.995,248.52,50.7665,537.681,250.62,48.8285,524.706,225.338,,,,,,
-234.569,234.209,37.9309,-307.897,230.278,24.6853,-330.984,439.87,68.5134,-299.187,352.194,59.2065,-261.94,355.852,46.2338,-294.416,448.585,68.2561,,,,-364.795,510.344,42.4,-315.537,561.055,109.071,-295.819,583.311,136.141,-276.591,600.082,161.517,-259.146,563.786,173.167,-274.577,547.145,144.97,-298.995,524.053,116.664,-138.141,715.811,303.296,-126.866,598.352,275.444,-139.756,641.845,319.338,6.28551,534.489,223.216,7.30711,545.054,248.577,50.8019,537.723,250.662,48.844,524.751,225.381,,,,,,
-234.687,234.305,37.7686,-308.026,230.244,24.5391,-331.668,439.647,68.9462,-299.669,352.021,59.3526,-262.394,355.831,46.4344,-295.109,448.362,69.0148,,,,-365.257,510.329,43.0564,-315.895,561.188,109.609,-296.099,583.424,136.653,-276.793,600.189,161.961,-259.402,563.913,173.647,-274.963,547.246,145.549,-299.53,524.174,117.333,-138.058,715.871,303.409,-126.84,598.361,275.666,-139.661,641.911,319.485,6.30399,534.547,223.268,7.33963,545.111,248.63,50.8355,537.763,250.701,48.8583,524.793,225.421,,,,,,
-234.802,234.436,37.6221,-308.141,230.22,24.3913,-332.351,439.451,69.3744,-300.151,351.874,59.5029,-262.848,355.835,46.6508,-295.805,448.17,69.7615,,,,-365.726,510.333,43.702,-316.256,561.332,110.14,-296.381,583.543,137.156,-276.998,600.298,162.399,-259.655,564.041,174.111,-275.345,547.352,146.108,-300.06,524.307,117.979,-137.979,715.926,303.52,-126.817,598.368,275.879,-139.57,641.972,319.626,6.32101,534.602,223.318,7.37022,545.166,248.681,50.8671,537.8,250.738,48.8711,524.833,225.459,,,,,,
-234.91,234.603,37.4936,-308.242,230.207,24.2428,-333.031,439.282,69.7973,-300.631,351.754,59.6576,-263.302,355.865,46.8829,-296.501,448.01,70.495,,,,-366.201,510.356,44.3358,-316.621,561.486,110.662,-296.665,583.669,137.651,-277.205,600.409,162.831,-259.904,564.17,174.558,-275.723,547.465,146.646,-300.583,524.45,118.6,-137.904,715.977,303.628,-126.795,598.373,276.082,-139.484,642.029,319.762,6.33656,534.655,223.364,7.3989,545.217,248.729,50.8969,537.835,250.773,48.8827,524.871,225.494,,,,,,
-235.01,234.806,37.3853,-308.325,230.206,24.0944,-333.707,439.14,70.2143,-301.106,351.663,59.8167,-263.753,355.921,47.1304,-297.195,447.881,71.2139,,,,-366.681,510.397,44.9564,-316.988,561.651,111.173,-296.951,583.8,138.136,-277.414,600.522,163.256,-260.15,564.302,174.987,-276.096,547.583,147.164,-301.099,524.604,119.196,-137.833,716.025,303.732,-126.775,598.376,276.276,-139.402,642.08,319.892,6.35064,534.705,223.407,7.42566,545.266,248.774,50.9249,537.867,250.805,48.8928,524.906,225.527,,,,,,
-235.1,235.046,37.3,-308.388,230.218,23.9476,-334.377,439.025,70.6245,-301.574,351.6,59.9805,-264.197,356.004,47.393,-297.884,447.784,71.917,,,,-367.165,510.457,45.5623,-317.356,561.825,111.674,-297.236,583.936,138.611,-277.625,600.636,163.673,-260.392,564.434,175.399,-276.463,547.706,147.66,-301.606,524.768,119.767,-137.766,716.068,303.833,-126.756,598.377,276.461,-139.324,642.127,320.017,6.36327,534.752,223.447,7.4505,545.311,248.816,50.951,537.897,250.834,48.9017,524.939,225.557,,,,,,
-235.175,235.325,37.2405,-308.428,230.244,23.8036,-335.037,438.938,71.0273,-302.032,351.567,60.149,-264.632,356.116,47.6703,-298.565,447.721,72.6027,,,,-367.652,510.535,46.1519,-317.724,562.008,112.163,-297.521,584.078,139.073,-277.837,600.751,164.082,-260.629,564.567,175.794,-276.825,547.834,148.135,-302.105,524.941,120.313,-137.702,716.108,303.931,-126.739,598.377,276.637,-139.251,642.169,320.136,6.37445,534.797,223.485,7.47344,545.354,248.854,50.9753,537.925,250.861,48.9092,524.97,225.584,,,,,,
-235.234,235.643,37.2098,-308.441,230.284,23.6642,-335.686,438.88,71.4219,-302.477,351.565,60.3225,-265.056,356.257,47.962,-299.236,447.691,73.2694,,,,-368.139,510.629,46.7236,-318.091,562.199,112.639,-297.804,584.224,139.523,-278.05,600.867,164.482,-260.862,564.7,176.169,-277.179,547.967,148.588,-302.593,525.122,120.832,-137.643,716.144,304.026,-126.724,598.374,276.805,-139.182,642.207,320.249,6.38419,534.839,223.519,7.49448,545.395,248.89,50.9977,537.95,250.886,48.9154,524.998,225.609,,,,,,
-235.273,236,37.2111,-308.423,230.34,23.5312,-336.321,438.852,71.8074,-302.907,351.595,60.5014,-265.464,356.428,48.2675,-299.892,447.695,73.9156,,,,-368.625,510.741,47.2755,-318.456,562.398,113.099,-298.086,584.373,139.96,-278.262,600.984,164.87,-261.089,564.834,176.526,-277.525,548.103,149.017,-303.07,525.312,121.323,-137.588,716.176,304.118,-126.711,598.369,276.963,-139.118,642.239,320.357,6.3925,534.878,223.551,7.51364,545.432,248.924,51.0183,537.973,250.908,48.9202,525.024,225.632,,,,,,
