 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-235.968448,259.041415,46.312155,-304.832291,265.620209,30.594950,-295.134189,442.515885,48.825333,-289.970475,376.946646,51.851749,-232.950637,371.173584,56.547146,-231.309563,426.276584,64.893009,-203.389031,528.101523,-12.837332,-277.552326,529.616824,22.005931,-238.965447,555.232951,125.867267,-223.603892,579.473835,157.522694,-211.699384,597.087426,201.733096,-182.658064,549.526936,213.414015,-200.893139,542.001348,171.039133,-217.727492,527.537222,136.713219,-111.001830,669.058625,335.101870,-75.696740,573.919793,301.575779,-100.031108,602.096706,339.686908,51.319831,525.037321,260.120586,51.563961,539.360144,282.485010,92.884420,544.778401,278.535089,91.474947,532.366453,255.247435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-235.944736,259.048026,46.327506,-304.806828,265.617967,30.606790,-295.122714,442.514543,48.824234,-289.954782,376.946721,51.856632,-232.935047,371.178609,56.553818,-231.296548,426.283032,64.892143,-203.389134,528.101917,-12.836356,-277.551222,529.612435,21.997880,-238.962586,555.225181,125.858786,-223.603486,579.467594,157.515189,-211.699598,597.083138,201.725302,-182.657479,549.522247,213.405363,-200.890712,541.995585,171.030314,-217.721652,527.530997,136.703474,-111.005784,669.048741,335.095995,-75.690785,573.913925,301.564502,-100.030039,602.087382,339.677918,51.321482,525.036453,260.100618,51.564296,539.357137,282.466920,92.884008,544.776635,278.519369,91.476300,532.369098,255.229126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-235.920418,259.054106,46.342618,-304.780628,265.615262,30.618224,-295.110414,442.512650,48.822984,-289.938293,376.946254,51.861309,-232.918698,371.183049,56.560319,-231.282656,426.288973,64.890956,-203.388609,528.101694,-12.835356,-277.549488,529.607424,21.989547,-238.959148,555.216775,125.849989,-223.602732,579.460809,157.507442,-211.699571,597.078378,201.717329,-182.656400,549.517216,213.396475,-200.887745,541.989383,171.021233,-217.715074,527.524255,136.693455,-111.009697,669.038857,335.090041,-75.684728,573.908106,301.553119,-100.028893,602.078085,339.668808,51.323221,525.035724,260.080513,51.564714,539.354250,282.448715,92.883676,544.775011,278.503530,91.477739,532.371917,255.210680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-235.895528,259.059621,46.357449,-304.753725,265.612082,30.629209,-295.097288,442.510192,48.821576,-289.921016,376.945226,51.865757,-232.901601,371.186874,56.566628,-231.267889,426.294377,64.889434,-203.387435,528.100834,-12.834332,-277.547104,529.601780,21.980932,-238.955118,555.207727,125.840874,-223.601620,579.453477,157.499454,-211.699297,597.073142,201.709177,-182.654819,549.511839,213.387355,-200.884229,541.982735,171.011892,-217.707749,527.516988,136.683163,-111.013563,669.028985,335.084010,-75.678574,573.902343,301.541636,-100.027669,602.068826,339.659582,51.325050,525.035141,260.060283,51.565216,539.351491,282.430406,92.883426,544.773537,278.487584,91.479265,532.374916,255.192108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-235.870105,259.064539,46.371953,-304.726158,265.608419,30.639703,-295.083333,442.507153,48.820001,-289.902962,376.943622,51.869954,-232.883767,371.190054,56.572722,-231.252248,426.299215,64.887561,-203.385590,528.099315,-12.833287,-277.544053,529.595490,21.972034,-238.950486,555.198032,125.831441,-223.600140,579.445592,157.491224,-211.698766,597.067425,201.700847,-182.652727,549.506116,213.378007,-200.880156,541.975639,171.002292,-217.699665,527.509191,136.672604,-111.017377,669.019134,335.077905,-75.672327,573.896643,301.530059,-100.026365,602.059614,339.650243,51.326969,525.034710,260.039941,51.565804,539.348869,282.412006,92.883261,544.772218,278.471539,91.480879,532.378097,255.173420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-235.844190,259.068825,46.386085,-304.697969,265.604262,30.649661,-295.068553,442.503522,48.818250,-289.884144,376.941423,51.873880,-232.865212,371.192556,56.578580,-231.235738,426.303456,64.885324,-203.383055,528.097115,-12.832223,-277.540317,529.588543,21.962853,-238.945239,555.187685,125.821689,-223.598284,579.437153,157.482751,-211.697972,597.061224,201.692342,-182.650117,549.500045,213.368435,-200.875516,541.968092,170.992439,-217.690815,527.500859,136.661781,-111.021134,669.009314,335.071726,-75.665989,573.891014,301.518392,-100.024983,602.050459,339.640795,51.328979,525.034439,260.019500,51.566479,539.346391,282.393525,92.883181,544.771064,278.455405,91.482582,532.381467,255.154628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-235.817828,259.072448,46.399797,-304.669200,265.599603,30.659042,-295.052950,442.499286,48.816315,-289.864579,376.938613,51.877511,-232.845952,371.194353,56.584178,-231.218366,426.307072,64.882707,-203.379810,528.094216,-12.831139,-277.535879,529.580932,21.953389,-238.939368,555.176683,125.811619,-223.596041,579.428156,157.474036,-211.696908,597.054537,201.683663,-182.646984,549.493626,213.358644,-200.870304,541.960093,170.982334,-217.681192,527.491987,136.650700,-111.024830,668.999535,335.065476,-75.659565,573.885462,301.506643,-100.023523,602.041372,339.631241,51.331079,525.034335,259.998972,51.567241,539.344065,282.374977,92.883189,544.770079,278.439192,91.484375,532.385030,255.135744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-235.791064,259.075374,46.413042,-304.639899,265.594434,30.667800,-295.036530,442.494434,48.814188,-289.844283,376.935179,51.880824,-232.826007,371.195414,56.589493,-231.200142,426.310034,64.879698,-203.375836,528.090598,-12.830040,-277.530725,529.572647,21.943643,-238.932865,555.165027,125.801230,-223.593403,579.418602,157.465078,-211.695568,597.047364,201.674814,-182.643321,549.486858,213.348641,-200.864512,541.951642,170.971982,-217.670791,527.482572,136.639366,-111.028458,668.989807,335.059157,-75.653059,573.879994,301.494816,-100.021984,602.032362,339.621584,51.333271,525.034406,259.978370,51.568093,539.341898,282.356374,92.883287,544.769273,278.422911,91.486256,532.388791,255.116778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-235.763948,259.077572,46.425773,-304.610116,265.588747,30.675892,-295.019302,442.488956,48.811860,-289.823278,376.931104,51.883797,-232.805399,371.195711,56.594503,-231.181076,426.312313,64.876281,-203.371116,528.086243,-12.828926,-277.524841,529.563681,21.933615,-238.925721,555.152715,125.790526,-223.590363,579.408492,157.455879,-211.693945,597.039703,201.665796,-182.639126,549.479743,213.338430,-200.858137,541.942739,170.961389,-217.659608,527.472611,136.627786,-111.032014,668.980141,335.052770,-75.646476,573.874619,301.482917,-100.020367,602.023440,339.611829,51.335553,525.034657,259.957707,51.569034,539.339900,282.337727,92.883476,544.768651,278.406571,91.488227,532.392753,255.097743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-235.736531,259.079009,46.437940,-304.579904,265.582538,30.683273,-295.001274,442.482842,48.809322,-289.801585,376.926376,51.886407,-232.784150,371.195216,56.599183,-231.161182,426.313882,64.872444,-203.365633,528.081134,-12.827799,-277.518213,529.554029,21.923309,-238.917930,555.139749,125.779507,-223.586913,579.397826,157.446440,-211.692034,597.031557,201.656613,-182.634395,549.472282,213.328019,-200.851175,541.933385,170.950558,-217.647641,527.462105,136.615967,-111.035494,668.970545,335.046319,-75.639820,573.869342,301.470953,-100.018673,602.014614,339.601978,51.337925,525.035097,259.936995,51.570066,539.338078,282.319049,92.883757,544.768220,278.390183,91.490288,532.396922,255.078650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
