 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-78.2347,288.132,26.4103,-142.665,268.409,23.8766,-195.624,417.072,66.2647,-152.637,335.314,49.7446,-104.511,348.948,41.7598,-142.664,436.101,76.6621,,,,-229.081,519.545,46.8095,-220.332,617.369,141.626,-212.628,659.477,189.636,-207.795,695.752,240.337,-168.417,654.303,255.774,-183.364,625.498,212.233,-192.901,594.461,167.894,-160.327,775.528,288.103,-107.985,691.865,292.307,-142.188,729.568,306.712,23.8975,651.2,261.051,26.1823,664.497,284.733,67.0597,662.882,278.354,59.2772,649.591,256.538
-78.236,288.132,26.4101,-142.666,268.409,23.8742,-195.626,417.07,66.2629,-152.639,335.313,49.7425,-104.512,348.947,41.7596,-142.667,436.1,76.6617,,,,-229.084,519.544,46.8089,-220.334,617.365,141.628,-212.632,659.473,189.638,-207.8,695.748,240.34,-168.422,654.298,255.777,-183.369,625.492,212.236,-192.903,594.458,167.895,-160.329,775.522,288.105,-107.989,691.856,292.314,-142.19,729.562,306.714,23.8969,651.196,261.06,26.1813,664.5,284.74,67.0595,662.883,278.363,59.2778,649.588,256.548
-78.2373,288.131,26.4098,-142.668,268.408,23.8718,-195.628,417.068,66.261,-152.641,335.311,49.7403,-104.514,348.946,41.7593,-142.67,436.099,76.6612,,,,-229.086,519.542,46.8082,-220.337,617.361,141.629,-212.636,659.468,189.64,-207.804,695.744,240.342,-168.428,654.293,255.78,-183.374,625.486,212.24,-192.905,594.454,167.895,-160.332,775.515,288.107,-107.993,691.848,292.321,-142.192,729.555,306.716,23.896,651.192,261.069,26.1798,664.502,284.747,67.0589,662.884,278.371,59.278,649.585,256.559
-78.2386,288.13,26.4095,-142.669,268.407,23.8693,-195.63,417.066,66.2591,-152.642,335.31,49.7381,-104.516,348.945,41.759,-142.673,436.098,76.6605,,,,-229.089,519.54,46.8073,-220.34,617.357,141.631,-212.64,659.464,189.642,-207.809,695.74,240.345,-168.433,654.288,255.784,-183.38,625.48,212.243,-192.907,594.451,167.896,-160.335,775.509,288.108,-107.997,691.841,292.327,-142.194,729.549,306.717,23.8946,651.188,261.078,26.178,664.504,284.754,67.0579,662.885,278.38,59.2778,649.581,256.568
-78.24,288.13,26.4091,-142.67,268.407,23.8667,-195.632,417.065,66.257,-152.644,335.309,49.7358,-104.518,348.944,41.7586,-142.676,436.097,76.6598,,,,-229.092,519.538,46.8063,-220.343,617.353,141.632,-212.645,659.46,189.643,-207.814,695.735,240.347,-168.439,654.283,255.786,-183.386,625.475,212.246,-192.91,594.447,167.896,-160.338,775.503,288.11,-108.001,691.833,292.333,-142.197,729.543,306.719,23.8929,651.183,261.087,26.1758,664.506,284.761,67.0565,662.885,278.388,59.2772,649.578,256.578
-78.2413,288.129,26.4087,-142.671,268.406,23.8641,-195.634,417.063,66.2548,-152.646,335.308,49.7334,-104.52,348.942,41.7582,-142.68,436.096,76.6589,,,,-229.094,519.536,46.8051,-220.346,617.349,141.633,-212.649,659.455,189.644,-207.82,695.731,240.349,-168.445,654.278,255.789,-183.391,625.469,212.248,-192.913,594.444,167.896,-160.342,775.497,288.111,-108.006,691.826,292.338,-142.199,729.537,306.72,23.8908,651.179,261.096,26.1731,664.507,284.767,67.0547,662.886,278.396,59.2761,649.576,256.588
-78.2427,288.128,26.4083,-142.673,268.405,23.8615,-195.636,417.061,66.2526,-152.648,335.307,49.731,-104.522,348.941,41.7578,-142.683,436.095,76.658,,,,-229.097,519.534,46.8037,-220.349,617.346,141.633,-212.654,659.451,189.645,-207.825,695.727,240.351,-168.451,654.273,255.791,-183.398,625.464,212.25,-192.916,594.44,167.896,-160.345,775.491,288.113,-108.01,691.82,292.343,-142.202,729.531,306.721,23.8882,651.174,261.105,26.1701,664.509,284.774,67.0525,662.886,278.404,59.2747,649.573,256.597
-78.2441,288.128,26.4078,-142.674,268.405,23.8588,-195.638,417.06,66.2502,-152.649,335.306,49.7286,-104.523,348.94,41.7573,-142.687,436.095,76.657,,,,-229.1,519.532,46.8021,-220.353,617.342,141.633,-212.659,659.446,189.646,-207.831,695.723,240.352,-168.457,654.268,255.793,-183.404,625.458,212.252,-192.92,594.437,167.895,-160.349,775.486,288.114,-108.015,691.813,292.348,-142.206,729.525,306.722,23.8853,651.17,261.113,26.1667,664.51,284.781,67.0499,662.886,278.411,59.2728,649.569,256.606
-78.2455,288.127,26.4073,-142.675,268.404,23.8561,-195.641,417.058,66.2478,-152.651,335.305,49.7261,-104.525,348.939,41.7568,-142.69,436.094,76.6558,,,,-229.103,519.53,46.8004,-220.357,617.338,141.633,-212.664,659.442,189.647,-207.836,695.719,240.353,-168.463,654.263,255.795,-183.41,625.453,212.254,-192.923,594.433,167.895,-160.354,775.48,288.114,-108.02,691.807,292.352,-142.21,729.52,306.723,23.8821,651.165,261.121,26.1629,664.511,284.787,67.0469,662.886,278.419,59.2706,649.566,256.615
-78.2469,288.126,26.4067,-142.677,268.404,23.8533,-195.643,417.056,66.2452,-152.653,335.305,49.7235,-104.527,348.938,41.7562,-142.693,436.093,76.6546,,,,-229.107,519.528,46.7985,-220.361,617.334,141.633,-212.669,659.438,189.647,-207.842,695.714,240.354,-168.47,654.259,255.797,-183.417,625.448,212.255,-192.927,594.43,167.894,-160.358,775.474,288.115,-108.025,691.801,292.355,-142.214,729.514,306.724,23.8784,651.161,261.129,26.1586,664.512,284.793,67.0435,662.887,278.427,59.2679,649.563,256.624
-78.2483,288.126,26.406,-142.678,268.403,23.8504,-195.645,417.054,66.2426,-152.655,335.304,49.7209,-104.529,348.937,41.7556,-142.697,436.092,76.6532,,,,-229.11,519.526,46.7964,-220.365,617.331,141.633,-212.675,659.433,189.647,-207.848,695.71,240.355,-168.477,654.254,255.798,-183.423,625.443,212.255,-192.932,594.426,167.893,-160.363,775.469,288.115,-108.031,691.795,292.359,-142.218,729.509,306.725,23.8743,651.156,261.137,26.154,664.513,284.799,67.0397,662.886,278.434,59.2648,649.56,256.632
-78.2497,288.125,26.4054,-142.679,268.402,23.8475,-195.648,417.053,66.2398,-152.657,335.303,49.7183,-104.53,348.936,41.7549,-142.7,436.092,76.6517,,,,-229.113,519.524,46.7942,-220.37,617.327,141.632,-212.68,659.429,189.647,-207.855,695.706,240.356,-168.483,654.249,255.799,-183.43,625.438,212.256,-192.936,594.423,167.892,-160.368,775.463,288.116,-108.036,691.789,292.361,-142.223,729.503,306.725,23.8699,651.152,261.145,26.149,664.514,284.805,67.0356,662.886,278.441,59.2613,649.557,256.641
-78.2512,288.124,26.4046,-142.68,268.402,23.8446,-195.65,417.051,66.237,-152.658,335.302,49.7155,-104.532,348.936,41.7542,-142.704,436.091,76.6502,,,,-229.117,519.522,46.7918,-220.374,617.324,141.631,-212.686,659.425,189.647,-207.861,695.701,240.356,-168.49,654.244,255.8,-183.437,625.433,212.256,-192.941,594.419,167.891,-160.373,775.458,288.116,-108.042,691.784,292.363,-142.227,729.498,306.726,23.8651,651.147,261.152,26.1436,664.515,284.811,67.031,662.886,278.448,59.2574,649.555,256.649
-78.2526,288.124,26.4038,-142.682,268.401,23.8416,-195.652,417.049,66.234,-152.66,335.301,49.7128,-104.534,348.935,41.7534,-142.708,436.09,76.6485,,,,-229.12,519.52,46.7892,-220.379,617.32,141.629,-212.692,659.42,189.646,-207.867,695.697,240.356,-168.498,654.24,255.8,-183.444,625.428,212.256,-192.947,594.415,167.889,-160.378,775.453,288.116,-108.047,691.779,292.365,-142.233,729.493,306.726,23.8598,651.143,261.16,26.1378,664.515,284.817,67.026,662.886,278.455,59.2531,649.552,256.657
-78.254,288.123,26.403,-142.683,268.401,23.8385,-195.655,417.048,66.2309,-152.662,335.301,49.7099,-104.536,348.934,41.7526,-142.711,436.09,76.6467,,,,-229.124,519.518,46.7864,-220.384,617.317,141.628,-212.698,659.416,189.646,-207.874,695.693,240.356,-168.505,654.235,255.8,-183.451,625.424,212.255,-192.952,594.412,167.888,-160.384,775.448,288.115,-108.053,691.775,292.366,-142.238,729.488,306.727,23.8543,651.138,261.167,26.1316,664.516,284.822,67.0207,662.885,278.462,59.2485,649.548,256.665
-78.2555,288.122,26.4022,-142.684,268.4,23.8355,-195.657,417.046,66.2278,-152.664,335.3,49.7071,-104.537,348.933,41.7518,-142.715,436.089,76.6449,,,,-229.128,519.516,46.7835,-220.389,617.313,141.626,-212.704,659.412,189.645,-207.881,695.688,240.356,-168.512,654.23,255.8,-183.458,625.419,212.255,-192.958,594.408,167.886,-160.39,775.443,288.115,-108.059,691.77,292.367,-142.244,729.483,306.727,23.8483,651.134,261.174,26.125,664.516,284.828,67.015,662.885,278.468,59.2434,649.545,256.672
-78.2569,288.122,26.4013,-142.686,268.4,23.8323,-195.66,417.045,66.2245,-152.665,335.299,49.7041,-104.539,348.932,41.7509,-142.719,436.089,76.6429,,,,-229.132,519.513,46.7804,-220.395,617.31,141.624,-212.71,659.407,189.643,-207.887,695.684,240.355,-168.52,654.225,255.8,-183.465,625.415,212.253,-192.964,594.405,167.884,-160.396,775.438,288.114,-108.065,691.766,292.368,-142.25,729.478,306.727,23.8419,651.129,261.181,26.118,664.516,284.833,67.0088,662.884,278.475,59.2379,649.543,256.68
-78.2584,288.121,26.4003,-142.687,268.4,23.8291,-195.663,417.043,66.2211,-152.667,335.299,49.7012,-104.541,348.931,41.75,-142.723,436.088,76.6408,,,,-229.136,519.511,46.7772,-220.4,617.306,141.622,-212.717,659.403,189.642,-207.894,695.68,240.354,-168.527,654.221,255.799,-183.473,625.41,212.252,-192.97,594.401,167.882,-160.403,775.433,288.113,-108.071,691.763,292.368,-142.257,729.473,306.727,23.8352,651.124,261.187,26.1107,664.516,284.839,67.0023,662.883,278.481,59.232,649.54,256.687
