 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-229.904,252.811,45.4707,-299.533,258.039,31.7093,-293.983,434.849,51.5979,-287.628,369.421,53.5081,-230.387,364.942,57.7752,-229.941,419.16,68.1187,-203.325,524.385,-9.13019,-277.191,522.797,27.5604,-237.859,547.959,132.58,-222.771,573.058,164.847,-210.755,590.964,209.069,-180.363,544.002,218.84,-197.775,536.815,176.24,-214.986,521.51,142.655,-109.16,666.34,336.209,-74.7003,570.871,301.166,-98.1897,598.973,340.466,46.1303,520.522,249.256,46.3499,532.648,273.003,87.6783,537.54,270.026,86.7198,526.995,245.624,,,,,,
-229.905,252.81,45.4718,-299.533,258.04,31.7081,-293.98,434.85,51.5951,-287.626,369.422,53.5065,-230.386,364.942,57.775,-229.938,419.16,68.1173,-203.318,524.383,-9.13375,-277.187,522.798,27.5563,-237.853,547.957,132.577,-222.765,573.055,164.845,-210.75,590.962,209.067,-180.357,544,218.838,-197.768,536.813,176.237,-214.98,521.509,142.651,-109.154,666.338,336.21,-74.6973,570.869,301.166,-98.1856,598.972,340.465,46.1376,520.523,249.255,46.3547,532.648,273.003,87.6844,537.541,270.028,86.7273,526.995,245.625,,,,,,
-229.905,252.81,45.4728,-299.533,258.042,31.7069,-293.977,434.851,51.5924,-287.624,369.423,53.5049,-230.385,364.942,57.7747,-229.936,419.161,68.1159,-203.312,524.381,-9.1373,-277.183,522.798,27.5523,-237.847,547.955,132.573,-222.759,573.053,164.842,-210.744,590.961,209.064,-180.352,543.999,218.837,-197.762,536.811,176.234,-214.973,521.507,142.647,-109.149,666.337,336.211,-74.6944,570.867,301.166,-98.1817,598.971,340.465,46.1446,520.524,249.254,46.3594,532.649,273.004,87.6902,537.541,270.03,86.7345,526.995,245.626,,,,,,
-229.906,252.81,45.4738,-299.532,258.043,31.7056,-293.973,434.852,51.5897,-287.623,369.424,53.5033,-230.383,364.943,57.7745,-229.933,419.161,68.1145,-203.305,524.378,-9.14086,-277.178,522.799,27.5483,-237.841,547.953,132.57,-222.753,573.051,164.839,-210.738,590.96,209.062,-180.347,543.998,218.836,-197.756,536.809,176.231,-214.967,521.505,142.644,-109.144,666.336,336.212,-74.6916,570.865,301.166,-98.1778,598.97,340.465,46.1514,520.524,249.254,46.3639,532.65,273.004,87.696,537.542,270.031,86.7415,526.995,245.627,,,,,,
-229.907,252.81,45.4748,-299.532,258.044,31.7044,-293.97,434.853,51.5872,-287.621,369.425,53.5017,-230.382,364.943,57.7742,-229.931,419.161,68.113,-203.299,524.376,-9.14441,-277.174,522.8,27.5444,-237.835,547.951,132.567,-222.748,573.05,164.837,-210.733,590.959,209.06,-180.343,543.997,218.834,-197.75,536.807,176.228,-214.961,521.503,142.641,-109.138,666.335,336.212,-74.6888,570.863,301.166,-98.1741,598.969,340.464,46.1581,520.525,249.253,46.3682,532.65,273.005,87.7015,537.542,270.033,86.7483,526.995,245.628,,,,,,
-229.907,252.81,45.4757,-299.532,258.045,31.7032,-293.966,434.855,51.5848,-287.62,369.426,53.5002,-230.381,364.943,57.7739,-229.928,419.162,68.1116,-203.293,524.374,-9.14795,-277.169,522.8,27.5405,-237.829,547.95,132.564,-222.742,573.048,164.834,-210.727,590.958,209.058,-180.338,543.997,218.833,-197.744,536.805,176.225,-214.955,521.501,142.638,-109.133,666.335,336.213,-74.6862,570.861,301.167,-98.1705,598.968,340.464,46.1646,520.525,249.253,46.3725,532.65,273.006,87.7069,537.543,270.035,86.7549,526.995,245.629,,,,,,
-229.908,252.81,45.4765,-299.532,258.047,31.702,-293.963,434.856,51.5824,-287.618,369.427,53.4988,-230.379,364.943,57.7736,-229.925,419.162,68.1102,-203.287,524.371,-9.15148,-277.165,522.801,27.5367,-237.823,547.949,132.561,-222.737,573.047,164.831,-210.722,590.957,209.056,-180.334,543.996,218.832,-197.739,536.804,176.223,-214.949,521.5,142.635,-109.128,666.334,336.214,-74.6837,570.86,301.167,-98.167,598.967,340.464,46.1709,520.526,249.252,46.3766,532.651,273.006,87.7121,537.543,270.037,86.7614,526.995,245.63,,,,,,
-229.909,252.81,45.4773,-299.532,258.048,31.7008,-293.96,434.857,51.5802,-287.616,369.428,53.4973,-230.378,364.943,57.7732,-229.923,419.163,68.1088,-203.281,524.369,-9.155,-277.16,522.802,27.5329,-237.818,547.948,132.558,-222.732,573.046,164.829,-210.717,590.957,209.054,-180.33,543.996,218.831,-197.733,536.803,176.22,-214.944,521.499,142.632,-109.124,666.333,336.215,-74.6813,570.858,301.167,-98.1636,598.967,340.463,46.177,520.526,249.252,46.3805,532.651,273.007,87.7172,537.543,270.039,86.7676,526.994,245.631,,,,,,
-229.909,252.81,45.4781,-299.532,258.049,31.6996,-293.956,434.858,51.5781,-287.615,369.429,53.4959,-230.376,364.943,57.7729,-229.92,419.163,68.1073,-203.275,524.366,-9.1585,-277.156,522.802,27.5293,-237.812,547.947,132.555,-222.727,573.045,164.826,-210.712,590.957,209.052,-180.326,543.996,218.83,-197.728,536.802,176.218,-214.938,521.497,142.629,-109.119,666.333,336.215,-74.679,570.857,301.167,-98.1603,598.966,340.463,46.1829,520.527,249.252,46.3843,532.652,273.007,87.7221,537.544,270.041,86.7736,526.994,245.633,,,,,,
-229.91,252.81,45.4788,-299.532,258.05,31.6984,-293.953,434.859,51.5761,-287.613,369.43,53.4946,-230.375,364.944,57.7726,-229.918,419.164,68.1059,-203.269,524.364,-9.16197,-277.152,522.803,27.5256,-237.807,547.946,132.552,-222.722,573.045,164.824,-210.708,590.957,209.05,-180.322,543.996,218.829,-197.723,536.801,176.215,-214.933,521.496,142.626,-109.115,666.332,336.216,-74.6768,570.855,301.168,-98.1572,598.966,340.463,46.1886,520.527,249.251,46.388,532.652,273.008,87.7268,537.544,270.043,86.7795,526.994,245.634,,,,,,
