 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-85.8226,317.2,21.0391,-153.848,314.559,36.731,-165.91,406.954,39.0845,-157.121,361.243,32.923,-113.18,364.585,55.2757,-126.3,430.326,62.5697,,,,-175.424,561.757,28.4865,-123.588,633.227,123.485,-108.507,663.834,150.115,-96.1261,693.477,180.924,-72.8877,666.19,191.874,-85.4324,639.051,157.003,-99.8394,612.975,129.301,-19.8595,780.976,237.247,3.75591,683.741,216.49,-16.8747,728.41,251.632,111.397,657.165,192.14,114.865,663.844,221.377,157.319,662.564,219.619,155.877,656.164,190.658
-85.8334,317.203,21.0495,-153.87,314.574,36.7505,-165.934,406.969,39.0502,-157.144,361.256,32.9143,-113.185,364.596,55.2734,-126.296,430.34,62.5437,,,,-175.378,561.766,28.4106,-123.568,633.23,123.421,-108.499,663.839,150.044,-96.1421,693.483,180.857,-72.9169,666.188,191.826,-85.4334,639.051,156.947,-99.8091,612.98,129.237,-19.8723,780.952,237.219,3.75893,683.689,216.477,-16.8741,728.384,251.582,111.39,657.14,192.129,114.843,663.81,221.369,157.304,662.53,219.623,155.87,656.133,190.662
-85.848,317.204,21.0571,-153.896,314.587,36.7627,-165.959,406.981,39.0131,-157.17,361.267,32.9002,-113.195,364.605,55.2688,-126.296,430.35,62.5182,,,,-175.335,561.775,28.3405,-123.55,633.233,123.362,-108.492,663.844,149.979,-96.1582,693.488,180.798,-72.947,666.186,191.786,-85.4377,639.051,156.898,-99.7855,612.984,129.182,-19.8832,780.928,237.194,3.76207,683.633,216.469,-16.8714,728.358,251.535,111.382,657.115,192.121,114.82,663.777,221.362,157.29,662.495,219.628,155.862,656.1,190.666
-85.8665,317.204,21.0618,-153.926,314.598,36.7677,-165.985,406.99,38.9732,-157.198,361.275,32.8809,-113.21,364.609,55.2621,-126.301,430.356,62.4933,,,,-175.296,561.781,28.2765,-123.534,633.238,123.31,-108.488,663.85,149.921,-96.1745,693.494,180.746,-72.978,666.184,191.752,-85.4451,639.052,156.856,-99.7686,612.987,129.137,-19.8922,780.903,237.174,3.76535,683.575,216.466,-16.8667,728.331,251.493,111.374,657.091,192.113,114.798,663.743,221.358,157.276,662.46,219.634,155.854,656.068,190.672
-85.8887,317.203,21.0637,-153.959,314.606,36.7656,-166.013,406.996,38.9307,-157.229,361.28,32.8563,-113.23,364.611,55.2532,-126.311,430.358,62.469,,,,-175.26,561.786,28.2185,-123.522,633.243,123.263,-108.485,663.856,149.869,-96.1909,693.5,180.7,-73.0098,666.181,191.725,-85.4558,639.052,156.823,-99.7584,612.99,129.1,-19.8993,780.878,237.157,3.76877,683.514,216.47,-16.8599,728.303,251.455,111.367,657.066,192.108,114.777,663.71,221.355,157.262,662.424,219.641,155.845,656.034,190.678
-85.9145,317.2,21.0628,-153.996,314.612,36.7563,-166.042,406.999,38.8858,-157.262,361.283,32.8267,-113.254,364.609,55.2422,-126.325,430.355,62.4456,,,,-175.227,561.789,28.1668,-123.512,633.248,123.222,-108.485,663.862,149.824,-96.2076,693.506,180.662,-73.0425,666.179,191.704,-85.4696,639.052,156.798,-99.7549,612.991,129.073,-19.9046,780.853,237.144,3.77233,683.45,216.479,-16.851,728.275,251.421,111.359,657.042,192.103,114.755,663.677,221.354,157.248,662.387,219.649,155.837,655.999,190.686
-85.9435,317.196,21.059,-154.036,314.616,36.7401,-166.073,406.999,38.8386,-157.297,361.284,32.7922,-113.282,364.604,55.2292,-126.344,430.349,62.423,,,,-175.198,561.791,28.1215,-123.505,633.255,123.187,-108.486,663.868,149.786,-96.2244,693.513,180.631,-73.0761,666.177,191.69,-85.4866,639.052,156.78,-99.7581,612.992,129.056,-19.908,780.828,237.134,3.77602,683.384,216.495,-16.8401,728.246,251.39,111.351,657.017,192.101,114.734,663.645,221.355,157.234,662.35,219.658,155.828,655.964,190.694
-85.9757,317.191,21.0523,-154.079,314.617,36.7168,-166.104,406.995,38.7894,-157.333,361.281,32.753,-113.315,364.596,55.2143,-126.367,430.338,62.4015,,,,-175.173,561.791,28.0827,-123.5,633.261,123.159,-108.49,663.875,149.754,-96.2413,693.519,180.607,-73.1105,666.175,191.682,-85.5067,639.053,156.77,-99.768,612.992,129.048,-19.9095,780.803,237.129,3.77985,683.314,216.515,-16.8271,728.217,251.364,111.343,656.993,192.1,114.713,663.613,221.357,157.221,662.312,219.669,155.819,655.928,190.703
-86.0107,317.184,21.0428,-154.125,314.616,36.6867,-166.137,406.989,38.7384,-157.371,361.276,32.7094,-113.351,364.585,55.1977,-126.394,430.324,62.3812,,,,-175.152,561.79,28.0506,-123.498,633.269,123.136,-108.495,663.882,149.729,-96.2584,693.525,180.59,-73.1457,666.172,191.682,-85.5298,639.053,156.768,-99.7844,612.992,129.049,-19.9091,780.777,237.127,3.78382,683.242,216.542,-16.8121,728.188,251.342,111.334,656.97,192.1,114.692,663.58,221.361,157.207,662.274,219.68,155.809,655.892,190.714
-86.0482,317.177,21.0306,-154.173,314.613,36.6499,-166.17,406.979,38.6859,-157.41,361.268,32.6616,-113.392,364.57,55.1793,-126.425,430.305,62.3624,,,,-175.134,561.786,28.0256,-123.499,633.277,123.119,-108.502,663.89,149.71,-96.2755,693.532,180.58,-73.1817,666.17,191.687,-85.5561,639.054,156.774,-99.8075,612.99,129.06,-19.9069,780.751,237.13,3.78793,683.168,216.574,-16.7951,728.157,251.323,111.326,656.946,192.102,114.672,663.549,221.367,157.194,662.235,219.692,155.8,655.855,190.725
