 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-241.541843,408.787092,27.072619,-307.989202,414.298414,24.691361,-312.462409,594.558802,-9.789539,-305.891491,505.056358,12.779329,-256.564509,506.701085,31.131974,-259.980117,582.548198,35.499792,-224.595176,682.946118,-48.909434,-301.890329,669.534846,-9.651803,-275.830014,682.152317,91.726488,-264.996269,689.507703,136.959924,-252.737934,701.516922,209.857601,-236.255283,659.204560,207.707206,-245.896809,655.002796,146.932579,-261.986177,648.626281,101.405473,-174.560643,746.153579,314.622115,-133.699122,660.005678,313.729603,-169.465404,692.829607,330.955470,-17.288759,610.435345,262.794708,-14.164270,622.733450,289.262188,28.788248,623.224115,287.195122,28.086002,607.092716,264.690905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.544792,408.786761,27.068117,-307.992995,414.297650,24.684675,-312.467423,594.559589,-9.796603,-305.894826,505.057482,12.769921,-256.569140,506.701097,31.126805,-259.987739,582.546187,35.498093,-224.596548,682.947139,-48.914195,-301.892810,669.535029,-9.661839,-275.841608,682.154168,91.719578,-265.008927,689.507741,136.953580,-252.756918,701.513137,209.855166,-236.278047,659.200726,207.704892,-245.913651,655.003239,146.927239,-262.002045,648.628188,101.400023,-174.572281,746.164336,314.621383,-133.711463,660.023214,313.729291,-169.480459,692.840695,330.958114,-17.295628,610.429318,262.785791,-14.175144,622.727370,289.256299,28.779203,623.220478,287.194631,28.077583,607.089399,264.687329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.547891,408.786680,27.063908,-307.996901,414.297102,24.678274,-312.472572,594.560463,-9.803666,-305.898358,505.058739,12.760805,-256.573915,506.701358,31.121808,-259.995386,582.544506,35.496272,-224.598179,682.948275,-48.919364,-301.895530,669.535322,-9.671937,-275.853039,682.155887,91.712480,-265.021396,689.507736,136.947033,-252.775317,701.509672,209.852351,-236.299992,659.197210,207.702308,-245.930108,655.003557,146.921705,-262.017467,648.629974,101.394224,-174.583536,746.175125,314.619937,-133.723347,660.040467,313.728272,-169.495070,692.851841,330.960050,-17.302446,610.423612,262.776639,-14.185829,622.721463,289.250141,28.770298,623.216974,287.193716,28.069244,607.086349,264.683337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.551151,408.786864,27.060007,-308.000931,414.296783,24.672175,-312.477871,594.561427,-9.810733,-305.902098,505.060135,12.751992,-256.578847,506.701882,31.116992,-260.003063,582.543178,35.494316,-224.600092,682.949531,-48.924973,-301.898509,669.535732,-9.682114,-275.864306,682.157465,91.705172,-265.033676,689.507686,136.940262,-252.793109,701.506546,209.849126,-236.321089,659.194030,207.699432,-245.946171,655.003743,146.915959,-262.032427,648.631631,101.388048,-174.594395,746.185959,314.617728,-133.734757,660.057438,313.726500,-169.509225,692.863060,330.961234,-17.309216,610.418242,262.767227,-14.196322,622.715735,289.243688,28.761533,623.213610,287.192347,28.060982,607.083580,264.678897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.554583,408.787326,27.056430,-308.005091,414.296702,24.666390,-312.483330,594.562482,-9.817813,-305.906056,505.061677,12.743491,-256.583944,506.702681,31.112361,-260.010770,582.542220,35.492211,-224.602306,682.950913,-48.931050,-301.901765,669.536261,-9.692383,-275.875410,682.158897,91.697634,-265.045767,689.507590,136.933246,-252.810283,701.503773,209.845466,-236.341316,659.191200,207.696246,-245.961835,655.003790,146.909982,-262.046913,648.633155,101.381468,-174.604852,746.196847,314.614713,-133.745685,660.074127,313.723936,-169.522919,692.874365,330.961627,-17.315944,610.413218,262.757531,-14.206628,622.710188,289.236919,28.752904,623.210388,287.190498,28.052791,607.081105,264.673982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.558192,408.788072,27.053190,-308.009388,414.296866,24.660931,-312.488961,594.563627,-9.824910,-305.910237,505.063368,12.735307,-256.589212,506.703762,31.107919,-260.018510,582.541646,35.489943,-224.604838,682.952423,-48.937615,-301.905314,669.536910,-9.702758,-275.886355,682.160179,91.689848,-265.057674,689.507447,136.925966,-252.826832,701.501364,209.841346,-236.360661,659.188730,207.692731,-245.977097,655.003694,146.903760,-262.060920,648.634541,101.374460,-174.614903,746.207802,314.610859,-133.756124,660.090542,313.720546,-169.536151,692.885766,330.961202,-17.322637,610.408550,262.747531,-14.216750,622.704823,289.229814,28.744408,623.207311,287.188151,28.044664,607.078932,264.668567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.561983,408.789110,27.050296,-308.013822,414.297280,24.655808,-312.494770,594.564860,-9.832032,-305.914644,505.065207,12.727443,-256.594654,506.705131,31.103669,-260.026279,582.541468,35.487498,-224.607702,682.954062,-48.944688,-301.909166,669.537676,-9.713254,-275.897142,682.161306,91.681798,-265.069400,689.507255,136.918406,-252.842754,701.499326,209.836747,-236.379119,659.186627,207.688873,-245.991957,655.003452,146.897279,-262.074444,648.635784,101.367005,-174.624549,746.218833,314.606140,-133.766075,660.106689,313.716308,-169.548923,692.897275,330.959935,-17.329301,610.404240,262.737207,-14.226695,622.699640,289.222359,28.736037,623.204379,287.185290,28.036594,607.077067,264.662634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.565957,408.790441,27.047756,-308.018395,414.297946,24.651027,-312.500762,594.566174,-9.839183,-305.919274,505.067194,12.719901,-256.600270,506.706789,31.099611,-260.034073,582.541691,35.484862,-224.610910,682.955828,-48.952282,-301.913331,669.538556,-9.723880,-275.907775,682.162278,91.673470,-265.080950,689.507015,136.910550,-252.858052,701.497663,209.831654,-236.396693,659.184895,207.684659,-246.006419,655.003062,146.890526,-262.087484,648.636881,101.359087,-174.633795,746.229946,314.600536,-133.775541,660.122576,313.711203,-169.561244,692.908899,330.957810,-17.335942,610.400293,262.726543,-14.236470,622.694636,289.214539,28.727786,623.201594,287.181902,28.028573,607.075514,264.656166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.570114,408.792064,27.045578,-308.023103,414.298864,24.646597,-312.506938,594.567563,-9.846369,-305.924122,505.069323,12.712678,-256.606055,506.708734,31.095744,-260.041881,582.542322,35.482019,-224.614469,682.957716,-48.960405,-301.917815,669.539544,-9.734649,-275.918254,682.163090,91.664850,-265.092328,689.506727,136.902385,-252.872731,701.496378,209.826053,-236.413388,659.183537,207.680080,-246.020483,655.002523,146.883493,-262.100039,648.637829,101.350694,-174.642647,746.241147,314.594034,-133.784529,660.138211,313.705220,-169.573122,692.920642,330.954819,-17.342567,610.396706,262.715527,-14.246085,622.689808,289.206344,28.719646,623.198954,287.177981,28.020594,607.074275,264.649154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-241.574449,408.793976,27.043766,-308.027941,414.300029,24.642523,-312.513296,594.569016,-9.853594,-305.929176,505.071589,12.705774,-256.612003,506.710960,31.092068,-260.049692,582.543362,35.478956,-224.618384,682.959721,-48.969063,-301.922619,669.540631,-9.745569,-275.928580,682.163744,91.655930,-265.103535,689.506392,136.893900,-252.886798,701.495470,209.819933,-236.429213,659.182552,207.675126,-246.034154,655.001836,146.876170,-262.112111,648.638628,101.341816,-174.651114,746.252439,314.586628,-133.793049,660.153604,313.698356,-169.584570,692.932508,330.950957,-17.349182,610.393479,262.704148,-14.255547,622.685153,289.197767,28.711610,623.196456,287.173523,28.012649,607.073349,264.641589,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
