 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-169.080390,382.722605,28.809216,-230.737914,388.045474,14.121267,-216.634062,567.284068,61.565313,-222.574660,506.599847,47.316291,-182.017616,482.865187,68.606525,-183.960217,550.005212,90.923419,-138.169270,625.831682,13.704933,-198.409857,618.889659,58.668719,-159.833275,682.733144,163.979658,-146.257735,708.996876,203.434402,-132.755280,732.219103,233.556677,-113.221971,697.796950,249.101901,-128.344778,678.697323,218.325637,-138.297638,655.358008,177.816564,-52.286801,809.794646,298.851555,-32.925792,714.153072,279.043924,-43.021335,751.664638,307.170657,72.716090,676.102492,249.540444,74.479036,692.938673,276.186630,117.930088,691.956582,277.455320,119.763787,677.237098,251.620688
-169.084946,382.720535,28.816078,-230.742841,388.045183,14.127521,-216.634471,567.285942,61.565004,-222.577551,506.599617,47.318975,-182.026700,482.864702,68.616941,-183.970032,550.007369,90.931711,-138.177598,625.840654,13.695813,-198.406608,618.889440,58.666276,-159.832506,682.736846,163.975869,-146.256381,708.999211,203.428685,-132.751875,732.213405,233.550107,-113.214438,697.795764,249.089837,-128.340189,678.700147,218.318820,-138.300207,655.361472,177.815037,-52.288066,809.788321,298.843389,-32.910485,714.151848,279.029891,-43.010482,751.656674,307.167499,72.747613,676.097823,249.544019,74.503751,692.942964,276.191569,117.955923,691.965598,277.458610,119.791846,677.245065,251.626843
-169.089340,382.718404,28.823999,-230.746925,388.044766,14.133717,-216.634233,567.287895,61.564060,-222.579721,506.599461,47.320875,-182.035210,482.864443,68.626640,-183.978820,550.009736,90.938785,-138.184904,625.848105,13.688065,-198.403223,618.889386,58.663207,-159.831699,682.740215,163.971763,-146.254728,709.000735,203.423075,-132.748100,732.207186,233.543674,-113.206519,697.793896,249.078071,-128.335002,678.702148,218.311733,-138.302066,655.364382,177.812706,-52.288911,809.782164,298.835588,-32.895523,714.150569,279.016995,-42.999813,751.649056,307.164620,72.777937,676.093715,249.547173,74.527614,692.947307,276.196144,117.980840,691.974359,277.461596,119.818820,677.252916,251.632491
-169.093538,382.716222,28.833016,-230.750091,388.044215,14.139823,-216.633319,567.289927,61.562450,-222.581123,506.599383,47.321934,-182.043095,482.864426,68.635542,-183.986492,550.012318,90.944541,-138.191066,625.853916,13.681803,-198.399706,618.889506,58.659481,-159.830850,682.743212,163.967332,-146.252758,709.001391,203.417589,-132.743930,732.200411,233.537390,-113.198188,697.791300,249.066624,-128.329175,678.703265,218.304366,-138.303153,655.366684,177.809526,-52.289309,809.776179,298.828170,-32.880916,714.149227,279.005299,-42.989332,751.641800,307.162036,72.807014,676.090201,249.549880,74.550592,692.951710,276.200334,118.004804,691.982856,277.464262,119.844667,677.260649,251.637605
-169.097502,382.714001,28.843142,-230.752270,388.043525,14.145800,-216.631706,567.292037,61.560151,-222.581721,506.599388,47.322103,-182.050304,482.864666,68.643563,-183.992968,550.015115,90.948889,-138.195967,625.857977,13.677127,-198.396062,618.889806,58.655077,-159.829952,682.745795,163.962577,-146.250456,709.001129,203.412246,-132.739346,732.193052,233.531271,-113.189424,697.787938,249.055519,-128.322676,678.703447,218.296719,-138.303412,655.368324,177.805465,-52.289238,809.770370,298.821147,-32.866670,714.147820,278.994855,-42.979039,751.634917,307.159758,72.834812,676.087307,249.552120,74.572665,692.956180,276.204126,118.027790,691.991083,277.466595,119.869357,677.268268,251.642164
-169.101186,382.711761,28.854352,-230.753399,388.042695,14.151598,-216.629385,567.294217,61.557153,-222.581489,506.599479,47.321342,-182.056789,482.865173,68.650617,-183.998170,550.018121,90.951747,-138.199495,625.860198,13.674127,-198.392307,618.890286,58.649985,-159.829002,682.747923,163.957509,-146.247811,708.999909,203.407066,-132.734335,732.185090,233.525333,-113.180214,697.783780,249.044779,-128.315481,678.702652,218.288796,-138.302793,655.369255,177.800503,-52.288680,809.764739,298.814532,-32.852788,714.146341,278.985699,-42.968937,751.628416,307.157797,72.861311,676.085053,249.553877,74.593821,692.960722,276.207507,118.049784,691.999039,277.468584,119.892871,677.275774,251.646150
-169.104540,382.709526,28.866590,-230.753421,388.041724,14.157157,-216.626357,567.296460,61.553453,-222.580408,506.599660,47.319621,-182.062499,482.865956,68.656612,-184.002027,550.021322,90.953043,-138.201543,625.860500,13.672879,-198.388457,618.890947,58.644207,-159.827995,682.749554,163.952144,-146.244819,708.997700,203.402073,-132.728888,732.176514,233.519593,-113.170555,697.778807,249.034430,-128.307576,678.700844,218.280611,-138.301251,655.369426,177.794636,-52.287624,809.759287,298.808332,-32.839272,714.144787,278.977861,-42.959027,751.622300,307.156160,72.886502,676.083452,249.555138,74.614054,692.965340,276.210472,118.070778,692.006722,277.470224,119.915200,677.283171,251.649554
-169.107505,382.707328,28.879759,-230.752290,388.040618,14.162405,-216.622633,567.298752,61.549062,-222.578469,506.599930,47.316917,-182.067382,482.867020,68.661454,-184.004474,550.024698,90.952714,-138.202014,625.858820,13.673450,-198.384536,618.891783,58.637762,-159.826925,682.750644,163.946513,-146.241478,708.994481,203.397296,-132.723006,732.167323,233.514072,-113.160452,697.773006,249.024501,-128.298957,678.697999,218.272190,-138.298747,655.368793,177.787874,-52.286059,809.754013,298.802554,-32.826121,714.143154,278.971356,-42.949308,751.616573,307.154851,72.910384,676.082513,249.555894,74.633366,692.970040,276.213016,118.090773,692.014133,277.471510,119.936343,677.290463,251.652369
-169.110017,382.705205,28.893721,-230.749964,388.039383,14.167259,-216.618236,567.301078,61.544000,-222.575674,506.600292,47.313218,-182.071387,482.868364,68.665043,-184.005448,550.028219,90.950705,-138.200819,625.855113,13.675891,-198.380574,618.892786,58.630676,-159.825787,682.751151,163.940654,-146.237794,708.990238,203.392766,-132.716694,732.157525,233.508795,-113.149919,697.766378,249.015025,-128.289633,678.694100,218.263563,-138.295250,655.367313,177.780242,-52.283982,809.748918,298.797200,-32.813337,714.141439,278.966196,-42.939783,751.611235,307.153873,72.932965,676.082238,249.556142,74.651762,692.974822,276.215137,118.109773,692.021276,277.472441,119.956307,677.297653,251.654590
-169.112003,382.703200,28.908295,-230.746413,388.038031,14.171622,-216.613199,567.303419,61.538297,-222.572033,506.600744,47.308522,-182.074458,482.869988,68.667274,-184.004892,550.031850,90.946974,-138.197882,625.849347,13.680243,-198.376603,618.893943,58.622995,-159.824579,682.751028,163.934617,-146.233777,708.984968,203.388519,-132.709963,732.147139,233.503789,-113.138981,697.758927,249.006040,-128.279623,678.689138,218.254775,-138.290731,655.364944,177.771782,-52.281391,809.744000,298.792275,-32.800919,714.139640,278.962380,-42.930455,751.606285,307.153224,72.954257,676.082627,249.555877,74.669251,692.979688,276.216836,118.127786,692.028151,277.473016,119.975101,677.304744,251.656221
