 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
113.418,349.754,31.0377,183.423,343.3,21.0705,109.963,503.948,71.3011,115.198,441.678,51.2073,157.089,449.381,77.7928,152.891,513.603,104.139,125.162,614.273,30.5111,176.81,593.927,101.509,118.351,631.418,157.604,107.501,659.01,179.394,97.8309,684.52,202.547,129.029,713.083,183.897,138.578,682.002,168.159,146.126,650.952,149.001,61.4392,847.139,287.475,16.5028,757.105,288.171,48.4375,791.273,303.929,-132.861,695.555,218.271,-136.965,706.333,247.78,-92.2708,708.043,254.938,-89.5337,697.179,225.2
113.418,349.754,31.0375,183.421,343.3,21.0702,109.962,503.948,71.2986,115.196,441.677,51.2048,157.087,449.381,77.7912,152.888,513.602,104.138,125.162,614.271,30.5096,176.809,593.926,101.509,118.349,631.416,157.602,107.502,659.01,179.393,97.8341,684.522,202.543,129.026,713.084,183.893,138.576,682.001,168.157,146.124,650.951,148.998,61.4378,847.143,287.472,16.4988,757.119,288.156,48.4377,791.279,303.93,-132.851,695.553,218.281,-136.954,706.335,247.789,-92.2584,708.047,254.946,-89.5212,697.174,225.208
113.417,349.755,31.0371,183.42,343.3,21.0699,109.96,503.948,71.2964,115.195,441.677,51.2024,157.084,449.38,77.7899,152.886,513.601,104.136,125.161,614.27,30.5082,176.809,593.924,101.51,118.347,631.415,157.599,107.504,659.01,179.392,97.8368,684.525,202.539,129.024,713.085,183.889,138.575,682,168.156,146.121,650.951,148.996,61.4365,847.147,287.469,16.4948,757.134,288.143,48.4379,791.286,303.931,-132.843,695.551,218.291,-136.945,706.338,247.798,-92.2469,708.051,254.954,-89.5096,697.17,225.216
113.417,349.755,31.0365,183.419,343.3,21.0697,109.959,503.947,71.2945,115.193,441.677,51.2001,157.082,449.38,77.7888,152.883,513.6,104.136,125.161,614.269,30.5069,176.809,593.923,101.51,118.346,631.414,157.597,107.506,659.01,179.39,97.8392,684.527,202.535,129.022,713.086,183.886,138.573,681.999,168.155,146.119,650.95,148.994,61.4351,847.152,287.465,16.4906,757.149,288.13,48.4379,791.292,303.932,-132.835,695.55,218.301,-136.936,706.342,247.807,-92.2362,708.056,254.962,-89.4987,697.166,225.224
113.416,349.755,31.0356,183.419,343.299,21.0694,109.959,503.947,71.2929,115.191,441.676,51.1978,157.08,449.378,77.788,152.882,513.599,104.135,125.161,614.267,30.5057,176.81,593.921,101.511,118.345,631.412,157.595,107.508,659.01,179.389,97.8413,684.529,202.531,129.02,713.087,183.882,138.572,681.998,168.154,146.117,650.949,148.992,61.4338,847.157,287.462,16.4864,757.164,288.117,48.4379,791.299,303.933,-132.828,695.549,218.311,-136.928,706.346,247.816,-92.2264,708.061,254.97,-89.4888,697.163,225.233
113.415,349.754,31.0345,183.419,343.298,21.0692,109.959,503.946,71.2916,115.19,441.676,51.1956,157.078,449.377,77.7876,152.88,513.598,104.135,125.162,614.266,30.5046,176.811,593.919,101.513,118.345,631.411,157.593,107.51,659.011,179.387,97.843,684.531,202.526,129.018,713.088,183.878,138.571,681.997,168.153,146.115,650.947,148.99,61.4325,847.163,287.459,16.4822,757.179,288.106,48.4378,791.307,303.934,-132.822,695.55,218.322,-136.92,706.351,247.825,-92.2175,708.067,254.978,-89.4796,697.161,225.242
113.413,349.754,31.0331,183.419,343.297,21.069,109.959,503.946,71.2907,115.189,441.675,51.1936,157.077,449.376,77.7873,152.879,513.597,104.136,125.162,614.265,30.5034,176.812,593.916,101.514,118.345,631.41,157.591,107.513,659.012,179.385,97.8443,684.534,202.521,129.016,713.089,183.874,138.571,681.996,168.152,146.113,650.946,148.989,61.4312,847.169,287.455,16.4779,757.194,288.095,48.4377,791.315,303.935,-132.816,695.551,218.332,-136.914,706.357,247.835,-92.2095,708.073,254.987,-89.4712,697.16,225.25
113.412,349.754,31.0315,183.42,343.295,21.0688,109.96,503.945,71.2901,115.188,441.675,51.1917,157.075,449.374,77.7873,152.878,513.595,104.136,125.164,614.263,30.5023,176.815,593.914,101.515,118.346,631.408,157.589,107.515,659.012,179.383,97.8453,684.536,202.516,129.015,713.09,183.871,138.57,681.995,168.151,146.112,650.945,148.987,61.4299,847.175,287.452,16.4735,757.209,288.084,48.4374,791.323,303.936,-132.812,695.552,218.342,-136.908,706.363,247.844,-92.2024,708.08,254.995,-89.4637,697.159,225.259
113.41,349.754,31.0296,183.422,343.294,21.0685,109.961,503.945,71.2899,115.187,441.674,51.1899,157.074,449.372,77.7875,152.878,513.594,104.137,125.165,614.262,30.501,176.817,593.912,101.516,118.347,631.407,157.587,107.518,659.013,179.38,97.8459,684.539,202.51,129.013,713.092,183.867,138.57,681.994,168.15,146.111,650.944,148.985,61.4286,847.181,287.448,16.469,757.224,288.075,48.4371,791.331,303.937,-132.808,695.555,218.352,-136.903,706.369,247.853,-92.1962,708.087,255.004,-89.4571,697.159,225.268
113.409,349.753,31.0275,183.423,343.292,21.0683,109.963,503.945,71.2899,115.187,441.673,51.1884,157.073,449.37,77.7879,152.878,513.592,104.138,125.167,614.261,30.4997,176.82,593.909,101.517,118.349,631.406,157.585,107.521,659.015,179.377,97.846,684.541,202.505,129.011,713.093,183.863,138.57,681.994,168.148,146.11,650.944,148.983,61.4274,847.188,287.445,16.4646,757.239,288.066,48.4366,791.34,303.938,-132.805,695.558,218.362,-136.899,706.377,247.862,-92.1908,708.094,255.012,-89.4513,697.16,225.277
113.407,349.753,31.0251,183.426,343.29,21.068,109.965,503.944,71.2903,115.186,441.673,51.187,157.073,449.368,77.7885,152.879,513.59,104.139,125.17,614.26,30.4983,176.824,593.907,101.518,118.351,631.405,157.582,107.525,659.016,179.374,97.8458,684.543,202.499,129.01,713.095,183.859,138.57,681.994,168.146,146.11,650.943,148.981,61.4261,847.196,287.441,16.4601,757.255,288.057,48.4361,791.349,303.939,-132.803,695.562,218.372,-136.896,706.385,247.871,-92.1864,708.102,255.021,-89.4463,697.161,225.287
113.405,349.753,31.0225,183.428,343.287,21.0678,109.968,503.944,71.291,115.187,441.672,51.1859,157.073,449.366,77.7892,152.881,513.589,104.14,125.172,614.259,30.4966,176.829,593.905,101.519,118.354,631.404,157.58,107.528,659.018,179.37,97.8451,684.546,202.492,129.009,713.097,183.855,138.57,681.994,168.144,146.11,650.943,148.979,61.4249,847.203,287.437,16.4556,757.27,288.05,48.4355,791.358,303.939,-132.802,695.566,218.382,-136.894,706.393,247.881,-92.1829,708.111,255.03,-89.4422,697.163,225.296
