 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
110.036,281.418,35.6492,167.314,280.269,13.9434,199.788,459.882,91.7507,172.168,401.98,72.0975,202.878,393.134,29.8931,220.282,460.122,47.1672,,,,228.577,520.045,61.8044,212.799,543.102,153.995,208.081,569.785,200.785,210.053,589.446,243.417,233.474,614.917,227.577,234.036,597.119,186.552,234.726,574.439,139.156,178.554,738.295,333.865,135.06,639.691,321.483,158.133,666.126,354.144,0.305765,623.248,283.065,1.59184,632.886,312.221,45.0866,631.142,310.246,45.0405,618.564,282.132,,,,,,
110.035,281.418,35.6483,167.313,280.27,13.9431,199.789,459.881,91.7518,172.169,401.979,72.0964,202.879,393.133,29.8939,220.285,460.121,47.1694,,,,228.581,520.043,61.8088,212.8,543.096,153.997,208.084,569.775,200.788,210.055,589.435,243.421,233.475,614.906,227.588,234.039,597.109,186.562,234.729,574.432,139.166,178.555,738.287,333.871,135.066,639.679,321.488,158.135,666.116,354.151,0.307831,623.23,283.071,1.59488,632.873,312.226,45.0903,631.127,310.251,45.0443,618.547,282.14,,,,,,
110.034,281.418,35.6474,167.312,280.27,13.9427,199.79,459.88,91.7527,172.171,401.978,72.0953,202.88,393.133,29.8945,220.288,460.119,47.1714,,,,228.586,520.041,61.8129,212.8,543.09,154,208.088,569.765,200.792,210.057,589.423,243.425,233.475,614.895,227.599,234.043,597.099,186.571,234.732,574.425,139.175,178.557,738.278,333.877,135.071,639.667,321.493,158.138,666.106,354.157,0.309832,623.213,283.077,1.59784,632.859,312.232,45.0939,631.112,310.257,45.048,618.53,282.147,,,,,,
110.033,281.418,35.6465,167.311,280.27,13.9423,199.791,459.879,91.7535,172.173,401.977,72.094,202.88,393.132,29.8949,220.291,460.118,47.1732,,,,228.591,520.038,61.8169,212.801,543.085,154.002,208.091,569.755,200.796,210.058,589.412,243.429,233.476,614.885,227.609,234.047,597.089,186.58,234.736,574.418,139.183,178.559,738.27,333.882,135.077,639.654,321.498,158.14,666.096,354.163,0.311767,623.195,283.084,1.6007,632.846,312.237,45.0973,631.098,310.263,45.0516,618.513,282.155,,,,,,
110.033,281.418,35.6457,167.31,280.271,13.9418,199.793,459.878,91.7542,172.174,401.976,72.0927,202.881,393.131,29.8951,220.293,460.116,47.1748,,,,228.595,520.036,61.8206,212.802,543.08,154.004,208.095,569.745,200.799,210.06,589.401,243.433,233.476,614.874,227.619,234.051,597.08,186.589,234.739,574.411,139.192,178.561,738.262,333.888,135.083,639.642,321.503,158.143,666.085,354.17,0.313637,623.178,283.09,1.60347,632.833,312.243,45.1007,631.084,310.269,45.0551,618.497,282.162,,,,,,
110.032,281.419,35.6449,167.31,280.271,13.9413,199.794,459.877,91.7547,172.176,401.975,72.0912,202.882,393.13,29.8952,220.296,460.114,47.1763,,,,228.6,520.034,61.8241,212.803,543.075,154.006,208.098,569.736,200.803,210.063,589.391,243.437,233.477,614.865,227.629,234.055,597.071,186.597,234.742,574.405,139.199,178.563,738.254,333.894,135.088,639.63,321.508,158.146,666.075,354.177,0.315441,623.161,283.096,1.60615,632.82,312.248,45.104,631.07,310.274,45.0585,618.48,282.17,,,,,,
110.031,281.419,35.6442,167.309,280.272,13.9408,199.796,459.876,91.7552,172.178,401.974,72.0897,202.883,393.129,29.8951,220.299,460.113,47.1776,,,,228.604,520.032,61.8274,212.804,543.07,154.008,208.102,569.726,200.806,210.065,589.38,243.44,233.478,614.855,227.638,234.059,597.062,186.605,234.745,574.399,139.207,178.564,738.246,333.9,135.094,639.619,321.513,158.149,666.065,354.183,0.31718,623.145,283.102,1.60873,632.807,312.254,45.1072,631.056,310.28,45.0617,618.464,282.178,,,,,,
110.031,281.419,35.6435,167.308,280.272,13.9402,199.798,459.875,91.7555,172.18,401.973,72.0882,202.884,393.128,29.8948,220.301,460.111,47.1787,,,,228.608,520.03,61.8305,212.806,543.065,154.01,208.106,569.716,200.81,210.067,589.37,243.444,233.479,614.846,227.647,234.064,597.054,186.613,234.748,574.393,139.214,178.566,738.237,333.905,135.1,639.607,321.518,158.152,666.055,354.19,0.318852,623.128,283.109,1.61122,632.795,312.259,45.1103,631.042,310.286,45.0649,618.448,282.185,,,,,,
110.03,281.419,35.6428,167.308,280.273,13.9396,199.8,459.874,91.7557,172.183,401.972,72.0865,202.886,393.128,29.8945,220.304,460.11,47.1797,,,,228.612,520.028,61.8334,212.807,543.06,154.012,208.11,569.707,200.813,210.07,589.361,243.447,233.48,614.838,227.656,234.068,597.046,186.621,234.751,574.388,139.221,178.568,738.229,333.911,135.106,639.595,321.524,158.155,666.044,354.197,0.320457,623.112,283.115,1.61361,632.782,312.265,45.1133,631.029,310.292,45.0679,618.433,282.193,,,,,,
110.03,281.42,35.6422,167.307,280.273,13.9389,199.802,459.872,91.7558,172.185,401.971,72.0849,202.887,393.127,29.894,220.307,460.108,47.1806,,,,228.616,520.026,61.8362,212.809,543.056,154.014,208.114,569.697,200.816,210.073,589.351,243.451,233.482,614.83,227.664,234.073,597.039,186.628,234.754,574.383,139.227,178.57,738.221,333.917,135.113,639.583,321.529,158.158,666.034,354.204,0.321995,623.097,283.122,1.61591,632.771,312.271,45.1162,631.016,310.298,45.0708,618.418,282.201,,,,,,
