 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
117.028,352.322,31.2413,186.853,347.585,20.2417,111.953,506.373,70.0031,117.672,444.346,50.0656,159.725,452.496,76.4015,155.043,516.441,102.736,126.451,616.839,29.6417,178.056,596.889,100.544,118.928,633.057,157.182,107.566,660.128,178.978,97.7917,685.505,202.503,128.996,714.209,183.884,138.889,683.283,168.432,146.749,652.369,149.161,60.1497,847.566,287.452,15.6503,757.266,289.213,47.2979,791.647,303.987,-135.293,696.272,220.249,-139.465,707.594,249.553,-94.7779,709.221,256.796,-91.876,697.97,227.171
116.945,352.302,31.1293,186.843,347.538,20.2427,111.885,506.322,69.9972,117.588,444.309,50.0013,159.617,452.419,76.4167,154.952,516.344,102.801,126.382,616.75,29.7253,178.014,596.79,100.631,118.925,632.995,157.284,107.585,660.091,179.062,97.8578,685.501,202.555,129.002,714.193,183.887,138.863,683.241,168.462,146.714,652.314,149.21,60.1267,847.542,287.468,15.6826,757.163,289.267,47.2716,791.608,303.96,-135.319,696.283,220.225,-139.495,707.585,249.539,-94.8122,709.212,256.785,-91.9083,697.991,227.145
116.868,352.279,31.0162,186.856,347.482,20.2443,111.84,506.272,70.0093,117.524,444.27,49.9539,159.53,452.341,76.4447,154.886,516.248,102.878,126.327,616.662,29.8102,177.996,596.699,100.718,118.947,632.941,157.387,107.624,660.063,179.146,97.9346,685.503,202.606,129.016,714.186,183.886,138.849,683.21,168.486,146.695,652.273,149.255,60.1042,847.518,287.485,15.7154,757.06,289.319,47.2465,791.569,303.934,-135.342,696.293,220.201,-139.523,707.575,249.524,-94.8448,709.203,256.773,-91.939,698.01,227.118
116.798,352.254,30.904,186.891,347.419,20.2465,111.819,506.222,70.0394,117.479,444.229,49.924,159.466,452.262,76.4855,154.845,516.154,102.967,126.288,616.574,29.8961,178.002,596.616,100.806,118.992,632.896,157.49,107.681,660.041,179.23,98.022,685.511,202.656,129.036,714.189,183.882,138.845,683.192,168.505,146.692,652.244,149.295,60.0821,847.493,287.502,15.7489,756.959,289.369,47.2227,791.53,303.907,-135.365,696.303,220.176,-139.55,707.564,249.508,-94.876,709.192,256.76,-91.9681,698.029,227.09
116.738,352.227,30.7948,186.948,347.348,20.2496,111.822,506.175,70.0876,117.455,444.187,49.9119,159.426,452.181,76.5393,154.829,516.062,103.07,126.263,616.489,29.9827,178.03,596.543,100.893,119.061,632.859,157.594,107.756,660.028,179.315,98.1199,685.524,202.705,129.064,714.203,183.873,138.852,683.186,168.518,146.704,652.228,149.332,60.0604,847.468,287.518,15.783,756.858,289.416,47.2002,791.491,303.879,-135.386,696.311,220.149,-139.575,707.552,249.492,-94.9055,709.181,256.745,-91.9957,698.046,227.062
116.688,352.199,30.691,187.027,347.27,20.2535,111.85,506.129,70.154,117.451,444.143,49.9184,159.409,452.101,76.6061,154.84,515.973,103.184,126.253,616.404,30.0699,178.083,596.479,100.979,119.154,632.83,157.698,107.85,660.022,179.4,98.2282,685.544,202.754,129.099,714.227,183.861,138.87,683.193,168.525,146.732,652.226,149.364,60.0392,847.442,287.535,15.8177,756.759,289.46,47.179,791.451,303.852,-135.405,696.318,220.123,-139.598,707.539,249.475,-94.9335,709.169,256.729,-92.0217,698.062,227.033
116.651,352.171,30.5955,187.127,347.185,20.2586,111.903,506.085,70.2387,117.468,444.099,49.9443,159.416,452.022,76.686,154.878,515.887,103.31,126.259,616.322,30.1573,178.158,596.425,101.065,119.271,632.81,157.802,107.962,660.023,179.484,98.3468,685.569,202.801,129.142,714.26,183.844,138.899,683.211,168.526,146.776,652.236,149.392,60.0184,847.417,287.552,15.8531,756.66,289.503,47.1591,791.411,303.825,-135.424,696.324,220.095,-139.621,707.525,249.457,-94.9599,709.156,256.713,-92.0461,698.077,227.003
116.629,352.142,30.5117,187.249,347.094,20.265,111.981,506.044,70.3418,117.507,444.055,49.9902,159.449,451.944,76.779,154.942,515.807,103.448,126.28,616.243,30.2445,178.258,596.381,101.15,119.411,632.799,157.906,108.093,660.032,179.569,98.4756,685.601,202.848,129.191,714.304,183.824,138.939,683.242,168.521,146.835,652.26,149.415,59.998,847.39,287.569,15.889,756.563,289.542,47.1405,791.37,303.797,-135.441,696.33,220.067,-139.641,707.51,249.438,-94.9847,709.141,256.695,-92.0689,698.091,226.972
116.624,352.113,30.4429,187.391,346.996,20.273,112.084,506.007,70.4635,117.568,444.011,50.0571,159.508,451.868,76.8852,155.035,515.732,103.596,126.318,616.166,30.3313,178.381,596.349,101.233,119.573,632.796,158.01,108.241,660.049,179.653,98.6143,685.638,202.893,129.248,714.358,183.799,138.989,683.286,168.51,146.91,652.298,149.434,59.9781,847.364,287.585,15.9255,756.466,289.579,47.1232,791.33,303.77,-135.456,696.334,220.038,-139.661,707.493,249.418,-95.008,709.126,256.676,-92.0902,698.103,226.941
116.638,352.086,30.3932,187.553,346.893,20.2828,112.213,505.972,70.6038,117.652,443.967,50.1458,159.594,451.795,77.0046,155.156,515.663,103.755,126.371,616.093,30.4172,178.528,596.327,101.314,119.759,632.803,158.113,108.406,660.074,179.737,98.7627,685.681,202.938,129.311,714.422,183.771,139.051,683.342,168.494,147.001,652.349,149.448,59.9587,847.337,287.602,15.9626,756.37,289.614,47.1073,791.288,303.742,-135.47,696.337,220.009,-139.678,707.477,249.398,-95.0298,709.11,256.656,-92.1099,698.115,226.908
