Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z
-145.72765165190214,71.90136868492247,69.677736459761,-275.5567925052189,-58.54060208422906,-204.5804952915938,-245.21533500083075,-211.62234092700317,-188.8886391414106,-70.21328437624305,-19.20242285964019,-16.098809801095133
-144.61029317677708,71.31777287609222,72.37647244599152,-279.53422897176625,-61.64284360250956,-199.07781276025764,-247.4345352122083,-216.55490366606114,-179.98149200599923,-66.6358968494682,-21.55904814781899,-23.51040293244667
-143.61126523887415,69.74881883882831,75.26697303387022,-283.97629667610283,-68.51061771416464,-191.72447738529655,-244.4250383769922,-227.70798229433257,-169.1630408517354,-63.060876268849256,-24.806740747934775,-28.818729251235045
-142.85360652245575,67.24149966885955,77.96053156513631,-287.12557810821903,-79.25560049940039,-183.85829997854245,-234.38009355746263,-245.2383826903695,-158.97398809941294,-60.611780923388885,-28.309302569605194,-30.561991279089778
-142.58178497205606,63.609854415487,80.13478875988334,-288.1917073443832,-91.3238414870907,-177.19160380964988,-220.5013094256121,-266.5093621650604,-151.51211649707358,-59.33466694446674,-31.11131058651566,-29.88150631354612
-142.7203743660964,59.28866190573847,81.67983333930121,-287.3648571562735,-102.5518856818263,-172.55782789575952,-206.0726610214257,-287.8595526456834,-147.33186888436612,-58.62726738061901,-33.05377005865312,-28.85452971366252
-143.2195948557215,54.511380051322305,82.68375320531044,-286.00808036741444,-110.99667102005573,-169.78388881142223,-194.05566045503764,-305.9898497318819,-146.72681602980379,-58.14812079895937,-34.289788945310676,-28.247531189022467
-143.79745029096765,49.90461152359108,83.39493782305674,-285.2128869179889,-116.60833275121172,-167.97439594633363,-184.71987748194837,-319.0716810292585,-149.0164682902942,-57.64243631735219,-35.337141285178596,-28.210795150612817
-144.32095011550138,45.7196861464849,84.06557990530507,-285.5742826149524,-119.46248443054928,-166.4632991515919,-178.2760236241795,-326.8186124059138,-153.01709017317896,-56.94703878303315,-36.13400388090171,-28.763242379331615
-144.61427496306771,42.33641692560819,84.86765339740377,-286.75183803420254,-120.44489658098188,-164.9918131233672,-173.79800307009694,-330.41246266638564,-156.9533099431431,-55.93396723733901,-36.59966317924235,-30.069426438107527
-144.73200162052194,39.668976010954985,85.81095030111528,-288.2681215901975,-120.03148390972538,-163.6922782017691,-170.9277845926693,-331.5159799237913,-159.86761720454913,-54.71379603677784,-36.63847870787334,-31.850968242788003
-144.7054697969053,37.70251561438931,86.79109989614186,-289.58835213375755,-119.14203913807944,-162.66654524269808,-168.48436772000187,-331.5621159473562,-161.64111998685536,-53.560917658063026,-36.58874742771895,-33.59296994864277
-144.69256098925842,36.09607531934119,87.64413239690589,-290.5695824722268,-118.16889923520704,-161.9812391223309,-166.1546544910595,-331.2918876359809,-163.3082693957746,-52.86623407794727,-36.56875810474787,-34.5592639292112
-144.72792271181206,34.73448515321599,88.25136174802137,-291.1509925055334,-117.59181227996743,-161.6016249355482,-163.54243684230653,-331.03530246498184,-165.69617450855148,-52.62769830384067,-36.63354048168915,-34.72293459134447
-144.86718734501395,33.41679029420754,88.57316354857932,-291.4238466471469,-117.3861905599545,-161.44138919317652,-161.12629204797182,-330.86808679464633,-169.05391267832132,-52.48673498844423,-36.57730402049693,-34.77116982007276
-145.02974718878167,32.28729518384248,88.67089043544436,-291.39683358189626,-117.5833757960194,-161.32892522909825,-158.71332890705608,-330.8794014186916,-172.80041721469652,-52.11402667120879,-36.47974366820159,-35.312173417213764
-145.1728875768504,31.47764782634741,88.65515886062317,-291.19270695840106,-117.85190054477506,-161.18309417692413,-156.315195805714,-330.8621259243633,-175.8429376300908,-51.504702479733695,-36.63465236167546,-35.90053087071908
-145.186969185824,31.366151934523746,88.65411059585487,-291.084649046342,-117.54827254233116,-161.2600395393353,-153.44502901943142,-329.86149321130756,-175.14374581211155,-50.478353031786796,-37.7137187233435,-35.93617506862545
-145.03365083534933,32.179806619708216,88.76496832873525,-291.2491927804475,-116.17689343146257,-161.86730099923545,-150.0735597770667,-325.85535219398037,-166.14946901521927,-48.581221538690045,-40.24771358913874,-35.213501090689135
-144.63341777624538,34.16615501952027,89.05388301140142,-291.7999105998981,-112.74664892862988,-163.1899683981653,-145.7891045281214,-316.73964516097806,-145.72248888555038,-45.64730516115774,-44.513298019855796,-33.358978407177844
-143.96037781522801,37.26790337849903,89.54733974972346,-292.1132141613895,-107.00727500926116,-164.31177199183904,-140.85507411633714,-302.10103332394846,-115.65495313530717,-42.28146925309927,-49.935103690611236,-29.41001106688459
-142.95083418779728,41.34235082569602,90.24407977335623,-290.4304383805351,-103.20337947442442,-163.57334318106467,-135.84619250394707,-284.11521317938684,-81.46329198221189,-39.29930769205259,-55.265071870922924,-23.316294405437624
-141.596200006817,46.009612590616705,91.1043867617037,-286.67499244123087,-101.8769090003091,-160.89040042173454,-131.80674213962595,-265.93666402196385,-48.5177057701258,-37.15844246093684,-59.2569418205769,-16.392026624663437
-139.88895479497072,50.946352088349805,92.05553925399894,-281.29935179538637,-102.99090357045795,-156.60457293668742,-128.94512588224606,-249.20706020364705,-19.23166452252724,-35.77851294812767,-61.6820218588871,-9.992729361410005
-137.89961539920174,55.808319895150916,92.99217618389851,-275.34800252356575,-105.41674575837946,-151.33828647189625,-127.07993708510597,-233.2047590348471,6.145482057166408,-34.67086236474681,-63.04900511815112,-4.381426338471112
-135.72755847220373,60.42499001286032,93.8049273610966,-269.7106895994258,-108.39445070749247,-145.43000115671782,-125.660489897848,-216.36780958698023,27.995345453344658,-33.273531293689096,-63.92897997184293,0.7602763475013481
-133.53486495074233,64.64409231245754,94.40164657904397,-265.05581612069744,-111.09967095986087,-139.23397029790334,-124.42841160254389,-198.29480493725262,46.19843768655655,-31.571018933494145,-64.38962322332607,5.807021963666898
-131.48436196609126,68.3984602705978,94.73518009219134,-261.5620630008425,-113.29335801115957,-133.19044474154578,-122.96454344643031,-180.5377995344266,60.18771495205745,-30.015083161843986,-64.37130226317478,10.74858904077163
-129.73315890387906,71.57077769113319,94.80489780997706,-259.18668561843253,-114.65259646295262,-128.05788095874306,-121.09255128844478,-165.72276173550043,69.39435861217841,-28.940848367421392,-64.00213138443593,15.074164184170375
-128.38046619415417,74.08393754970986,94.65476088371105,-257.6045843422297,-115.33495312434779,-124.48158148879055,-118.89440721453373,-155.92094714380923,74.13253529520367,-28.335066481385766,-63.615708849424955,18.096329576089143
-127.46718797829074,75.86706294643646,94.35335210431609,-256.46985372226897,-115.56128456630545,-122.68305030590575,-116.89957606259959,-151.43207874233602,75.6499459584314,-28.054607941464745,-63.35711467403225,19.603701733865353
-126.9797293727648,76.93943301358682,93.96877158877703,-255.5063455225835,-115.88349804021442,-122.18499751207023,-115.44702030347612,-150.5703581939015,75.58834604823042,-27.905234698731313,-63.18633649007969,20.051423401253857
-126.880118448902,77.37343741697647,93.54447923775004,-254.75899088582065,-116.48942235234524,-122.29440051236196,-114.54676941812876,-150.74005693679507,75.21195185045063,-27.74088138566017,-63.03687115553734,20.28795150374247
-127.14505527902992,77.28244255215425,93.08092578972932,-254.57518124830852,-117.18621135061912,-122.67011036128854,-114.04158602514214,-150.58149018770567,74.92896436650469,-27.517508764996,-63.054168678289855,20.700667545158026
-127.76519722407542,76.76355913031291,92.54062076908791,-255.57313241000028,-117.10454046273009,-123.7538616645107,-114.09434632257262,-151.58671799048875,73.7779912495465,-27.12364791151513,-63.60280074445694,20.424842759426795
-128.75330643440012,75.85602964219404,91.87005142399617,-258.3104679089968,-115.40894703184289,-126.30195017293335,-115.10463288905889,-157.2015617085287,69.48967407852408,-26.265068102846346,-64.96559884575848,17.55924080798169
-130.08479355455074,74.56306244681683,91.0426213339201,-262.8561393619893,-111.85249159830579,-130.63964369698456,-117.21628063676856,-170.02446795596518,59.5308581479114,-24.91337478328786,-66.71916700099445,10.627246638840775
-131.70534808093288,72.84563925408263,90.08556823260814,-268.56284973278997,-107.26488647657084,-136.16684925528148,-120.12663340467624,-189.61811064657445,42.51232033850242,-23.832886082374433,-67.61916182345288,0.1383306904691783
-133.48489690006437,70.71304379163745,89.09150766433416,-274.32665812843754,-103.0040336144678,-141.7667682802176,-123.22747404850197,-212.81178977408652,18.90140714889532,-24.31576752695148,-66.51396591361396,-11.2716225709213
-135.28758388575912,68.19192351791989,88.18958238865838,-279.1474565637281,-100.24857482317374,-146.4692120796155,-126.11501854205329,-235.59916619812392,-9.145225576518273,-27.087798543177858,-63.347839575602386,-20.577162930994422
-136.9517411474112,65.41246394593018,87.50720268239982,-282.41616806185976,-99.49809604939246,-149.920857866184,-128.52808797563068,-255.11420614971897,-38.376539641824024,-31.477199995758756,-59.106474214719725,-26.58565426556307
-138.38304195776607,62.504258249875406,87.12096163483744,-283.97438282070095,-100.59728452991845,-152.28433399393833,-130.43017100927267,-270.48571991925746,-65.57964370831948,-35.988710941009394,-54.757599194001514,-30.18577572562219
-139.50301488315458,59.67044949617983,87.04087289414795,-283.9359925890217,-103.01426126256774,-153.94530124920357,-131.70596571070556,-282.5123338614044,-88.56994785441098,-39.565193894657845,-50.68835548728936,-32.800926304171874
-140.32734234777485,57.032639815086355,87.20890428672695,-282.7159363645277,-106.01029627664559,-155.20368803043587,-132.59732213507726,-292.42975783906326,-106.59812723723098,-42.09982247691162,-46.92814031587265,-35.117769164504914
-140.8730741192314,54.73455335351665,87.53699386194442,-280.8518584289439,-108.91639429438013,-156.22190035725723,-133.52962676675634,-301.15646918639004,-119.85795530577947,-43.98585764988873,-43.54786271937896,-37.198282235216006
-141.22842202562026,52.78519541075247,87.9326901527802,-278.984267404348,-111.1594378451528,-157.06165044982245,-135.22647839840462,-309.05830799946136,-129.17000677220562,-45.610117680871944,-40.5544950887268,-38.80502182215217
-141.43644716823965,51.22200410883894,88.33389090711418,-277.56233886850794,-112.57296487273807,-157.73471613554474,-137.5849288028678,-315.9428967670287,-135.6214931254853,-47.144640205306494,-38.112150887678254,-39.63088121267443
-141.5805960822474,49.95357441240794,88.70815322855769,-276.83257932955235,-113.19560454798975,-158.22667164255807,-139.87486750685233,-321.06257606320895,-140.2926680577629,-48.571233956341615,-36.524678065047965,-39.529605461287126
-141.66773048690695,48.96894824302928,89.05783739306288,-276.59225094647337,-113.36512281619427,-158.57613800166325,-141.04571187396624,-323.93014621185773,-143.72451829160624,-49.67739096540019,-35.93010004497652,-38.93097330129461
-141.74762728368236,48.14894088930246,89.38960246175236,-276.51884075327763,-113.26426095702683,-158.88664577238382,-141.16644423704153,-324.9159238762647,-146.24719103941547,-50.28512383108018,-35.83819548211421,-38.47855936836496
-141.79664220490912,47.49708799617357,89.70881935537903,-276.2960661153331,-113.15094991612338,-159.22561602048242,-140.76592713337206,-325.07620159152,-148.19293071791716,-50.46125773139464,-35.67068821781624,-38.49031626503377
-141.85705199790982,46.90714361166052,89.99378087121572,-276.02914941763504,-112.98806216612698,-159.56456072658523,-140.63982434787877,-325.1358343341252,-150.08056573987957,-50.532045266450716,-35.22958425661091,-38.67473079963101
-141.9003680762619,46.4162547021854,90.21162319855256,-275.85444571327554,-112.85281171638077,-159.86577255561056,-140.6925635618628,-325.1763866224002,-152.1181263839882,-50.73135342750631,-34.84783455617114,-38.68637502974963
-141.97027098781072,45.935824633939355,90.3167486948788,-275.89137491624257,-112.575367899555,-160.20815401292393,-140.82344366848463,-324.9475134852905,-154.35966468709228,-51.06129808176654,-34.70520736951441,-38.41728497065191
-142.02376606727577,45.54044802582083,90.28496312597836,-275.8513946258107,-112.30668753491958,-160.74972400516944,-140.57326168273545,-324.50605665756956,-156.607471444011,-51.32512074944004,-34.73080803415724,-38.17002195492883
