 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-177.967,225.273,44.5194,-233.915,222.154,10.3475,-250.565,384.612,19.0844,-237.708,281.794,23.664,-192.004,282.466,53.1759,-218.47,383.057,65.3799,,,,-244.467,454.033,23.941,-237.338,517.623,72.625,-228.515,556.65,103.347,-217.175,596.79,137.167,-215.044,553.056,165.02,-216.399,527.321,128.849,-225.377,490.734,100.507,-167.458,658.91,268.671,-120.026,594.633,258.123,-150.439,613.619,274.262,-12.3841,565.942,225.535,-9.71062,572.928,254.963,30.3326,570.725,252.624,29.4699,563.381,224.902
-177.966,225.274,44.5194,-233.915,222.154,10.3483,-250.566,384.612,19.0844,-237.708,281.794,23.6651,-192.004,282.466,53.1759,-218.471,383.058,65.3788,,,,-244.468,454.033,23.9413,-237.346,517.625,72.6148,-228.516,556.651,103.343,-217.176,596.79,137.166,-215.045,553.056,165.017,-216.402,527.322,128.847,-225.378,490.734,100.506,-167.46,658.911,268.675,-120.03,594.634,258.129,-150.443,613.62,274.265,-12.3886,565.943,225.535,-9.7135,572.928,254.962,30.329,570.726,252.622,29.4637,563.382,224.899
-177.965,225.274,44.5194,-233.914,222.154,10.349,-250.568,384.612,19.0845,-237.709,281.794,23.6664,-192.004,282.467,53.1759,-218.473,383.059,65.3778,,,,-244.47,454.033,23.9417,-237.353,517.627,72.6051,-228.519,556.651,103.341,-217.177,596.789,137.164,-215.047,553.056,165.015,-216.405,527.322,128.846,-225.38,490.734,100.505,-167.462,658.912,268.679,-120.034,594.634,258.136,-150.446,613.621,274.268,-12.3932,565.943,225.535,-9.71652,572.928,254.961,30.3253,570.727,252.62,29.4574,563.382,224.896
-177.964,225.275,44.5194,-233.914,222.154,10.3497,-250.569,384.612,19.0846,-237.71,281.794,23.6679,-192.003,282.467,53.1759,-218.475,383.06,65.377,,,,-244.472,454.033,23.9423,-237.36,517.629,72.5958,-228.521,556.65,103.338,-217.179,596.789,137.164,-215.048,553.055,165.013,-216.409,527.322,128.845,-225.382,490.735,100.504,-167.465,658.913,268.683,-120.038,594.635,258.142,-150.45,613.622,274.272,-12.3978,565.943,225.535,-9.71965,572.927,254.96,30.3215,570.727,252.619,29.4511,563.382,224.894
-177.963,225.275,44.5193,-233.913,222.154,10.3504,-250.571,384.612,19.0847,-237.711,281.794,23.6695,-192.003,282.468,53.1759,-218.477,383.061,65.3764,,,,-244.473,454.033,23.9429,-237.368,517.63,72.5871,-228.523,556.65,103.336,-217.18,596.788,137.164,-215.05,553.054,165.011,-216.412,527.322,128.844,-225.384,490.735,100.503,-167.467,658.914,268.688,-120.043,594.635,258.148,-150.454,613.623,274.276,-12.4026,565.943,225.535,-9.72291,572.926,254.96,30.3175,570.727,252.618,29.4447,563.382,224.892
-177.961,225.275,44.5193,-233.912,222.154,10.3511,-250.573,384.611,19.0849,-237.713,281.794,23.6714,-192.003,282.468,53.1758,-218.479,383.062,65.3759,,,,-244.475,454.034,23.9437,-237.375,517.632,72.5789,-228.526,556.65,103.335,-217.183,596.787,137.164,-215.052,553.052,165.01,-216.416,527.322,128.844,-225.387,490.734,100.503,-167.47,658.914,268.692,-120.047,594.636,258.154,-150.459,613.623,274.28,-12.4075,565.942,225.535,-9.72629,572.924,254.96,30.3133,570.726,252.617,29.4383,563.381,224.89
-177.96,225.276,44.5192,-233.912,222.153,10.3517,-250.574,384.611,19.0851,-237.714,281.794,23.6735,-192.002,282.468,53.1757,-218.481,383.063,65.3755,,,,-244.477,454.034,23.9446,-237.382,517.633,72.5712,-228.528,556.649,103.334,-217.185,596.786,137.165,-215.054,553.051,165.01,-216.42,527.322,128.844,-225.389,490.734,100.503,-167.472,658.915,268.696,-120.052,594.636,258.16,-150.463,613.624,274.285,-12.4124,565.941,225.536,-9.72979,572.923,254.96,30.3089,570.725,252.616,29.4319,563.38,224.889
-177.959,225.276,44.5191,-233.911,222.153,10.3524,-250.576,384.611,19.0854,-237.717,281.794,23.6758,-192.002,282.468,53.1756,-218.483,383.063,65.3753,,,,-244.479,454.034,23.9457,-237.388,517.635,72.564,-228.531,556.649,103.334,-217.188,596.785,137.167,-215.056,553.049,165.01,-216.423,527.321,128.845,-225.392,490.734,100.503,-167.475,658.915,268.701,-120.057,594.636,258.167,-150.468,613.625,274.289,-12.4175,565.939,225.537,-9.7334,572.921,254.96,30.3044,570.724,252.615,29.4254,563.378,224.887
-177.957,225.276,44.519,-233.91,222.153,10.353,-250.578,384.61,19.0857,-237.719,281.794,23.6784,-192.002,282.468,53.1755,-218.485,383.063,65.3752,,,,-244.481,454.034,23.9468,-237.395,517.636,72.5575,-228.534,556.648,103.334,-217.191,596.783,137.169,-215.058,553.047,165.011,-216.427,527.32,128.846,-225.395,490.733,100.503,-167.478,658.916,268.706,-120.063,594.637,258.173,-150.473,613.625,274.295,-12.4227,565.938,225.537,-9.73713,572.919,254.96,30.2997,570.723,252.615,29.4189,563.376,224.886
-177.956,225.276,44.5188,-233.909,222.152,10.3536,-250.581,384.61,19.0861,-237.723,281.795,23.6812,-192.002,282.468,53.1753,-218.487,383.064,65.3753,,,,-244.483,454.034,23.9481,-237.401,517.637,72.5515,-228.537,556.647,103.335,-217.195,596.781,137.172,-215.06,553.044,165.013,-216.431,527.32,128.847,-225.397,490.732,100.503,-167.481,658.916,268.711,-120.068,594.637,258.179,-150.479,613.626,274.3,-12.4279,565.936,225.538,-9.74098,572.916,254.96,30.2949,570.721,252.615,29.4123,563.374,224.886
-177.955,225.276,44.5186,-233.909,222.152,10.3542,-250.583,384.609,19.0865,-237.726,281.795,23.6843,-192.001,282.468,53.1751,-218.489,383.064,65.3756,,,,-244.486,454.034,23.9496,-237.408,517.638,72.5461,-228.541,556.646,103.336,-217.199,596.779,137.176,-215.062,553.042,165.014,-216.435,527.318,128.848,-225.401,490.731,100.504,-167.484,658.916,268.716,-120.074,594.637,258.185,-150.484,613.626,274.306,-12.4332,565.933,225.539,-9.74493,572.914,254.961,30.2899,570.718,252.615,29.4057,563.371,224.885
-177.953,225.276,44.5184,-233.908,222.151,10.3547,-250.585,384.608,19.0869,-237.73,281.795,23.6878,-192.001,282.468,53.1749,-218.491,383.064,65.376,,,,-244.488,454.033,23.9512,-237.414,517.639,72.5412,-228.544,556.644,103.338,-217.203,596.777,137.18,-215.065,553.039,165.017,-216.44,527.317,128.85,-225.404,490.73,100.505,-167.488,658.916,268.721,-120.08,594.637,258.191,-150.49,613.626,274.312,-12.4386,565.931,225.541,-9.74899,572.911,254.961,30.2848,570.716,252.615,29.3991,563.368,224.885
-177.952,225.276,44.5181,-233.907,222.151,10.3552,-250.587,384.608,19.0874,-237.735,281.795,23.6915,-192.001,282.468,53.1747,-218.494,383.064,65.3766,,,,-244.49,454.033,23.9529,-237.42,517.64,72.537,-228.548,556.643,103.34,-217.208,596.775,137.184,-215.067,553.036,165.02,-216.444,527.316,128.853,-225.407,490.729,100.506,-167.491,658.916,268.727,-120.086,594.637,258.197,-150.496,613.626,274.318,-12.4441,565.928,225.542,-9.75316,572.908,254.962,30.2795,570.713,252.615,29.3925,563.365,224.885
-177.95,225.276,44.5178,-233.906,222.15,10.3557,-250.59,384.607,19.088,-237.739,281.795,23.6955,-192.001,282.467,53.1744,-218.496,383.063,65.3774,,,,-244.493,454.033,23.9548,-237.426,517.64,72.5334,-228.551,556.641,103.342,-217.212,596.773,137.189,-215.07,553.033,165.023,-216.448,527.314,128.855,-225.41,490.727,100.507,-167.494,658.916,268.732,-120.092,594.637,258.203,-150.502,613.626,274.325,-12.4497,565.924,225.544,-9.75742,572.905,254.963,30.2741,570.709,252.616,29.3858,563.361,224.885
-177.948,225.275,44.5174,-233.905,222.149,10.3562,-250.592,384.606,19.0886,-237.745,281.795,23.6998,-192.001,282.467,53.1741,-218.498,383.063,65.3783,,,,-244.496,454.033,23.9568,-237.432,517.641,72.5305,-228.555,556.639,103.346,-217.217,596.77,137.195,-215.072,553.029,165.027,-216.453,527.312,128.858,-225.414,490.726,100.509,-167.498,658.915,268.738,-120.099,594.637,258.208,-150.509,613.626,274.332,-12.4553,565.921,225.545,-9.76177,572.901,254.964,30.2686,570.705,252.616,29.3791,563.357,224.886
-177.947,225.275,44.517,-233.904,222.149,10.3565,-250.595,384.605,19.0892,-237.75,281.796,23.7044,-192.001,282.466,53.1737,-218.501,383.062,65.3794,,,,-244.498,454.032,23.9589,-237.437,517.641,72.5281,-228.559,556.637,103.349,-217.223,596.767,137.201,-215.075,553.025,165.032,-216.457,527.31,128.861,-225.418,490.724,100.511,-167.502,658.915,268.743,-120.106,594.637,258.214,-150.516,613.626,274.339,-12.4611,565.917,225.547,-9.76622,572.898,254.966,30.2629,570.701,252.617,29.3724,563.353,224.887
-177.945,225.274,44.5165,-233.903,222.148,10.3569,-250.598,384.604,19.0899,-237.756,281.796,23.7092,-192.001,282.465,53.1734,-218.503,383.061,65.3806,,,,-244.501,454.032,23.9612,-237.442,517.641,72.5264,-228.563,556.635,103.353,-217.229,596.764,137.207,-215.077,553.021,165.037,-216.462,527.308,128.865,-225.421,490.722,100.513,-167.505,658.914,268.749,-120.113,594.637,258.22,-150.523,613.626,274.346,-12.4668,565.913,225.549,-9.77074,572.894,254.967,30.257,570.697,252.618,29.3657,563.348,224.888
-177.944,225.274,44.516,-233.902,222.147,10.3571,-250.601,384.603,19.0906,-237.763,281.796,23.7143,-192.001,282.465,53.173,-218.506,383.06,65.3821,,,,-244.504,454.032,23.9636,-237.448,517.641,72.5252,-228.567,556.633,103.358,-217.235,596.761,137.214,-215.08,553.017,165.042,-216.466,527.306,128.869,-225.425,490.72,100.515,-167.509,658.914,268.755,-120.12,594.637,258.225,-150.53,613.626,274.354,-12.4727,565.908,225.551,-9.77535,572.89,254.969,30.2511,570.692,252.62,29.359,563.343,224.889
-177.943,225.273,44.5153,-233.9,222.146,10.3573,-250.604,384.602,19.0913,-237.77,281.796,23.7196,-192.001,282.464,53.1725,-218.509,383.059,65.3836,,,,-244.508,454.031,23.9661,-237.453,517.641,72.5247,-228.571,556.63,103.363,-217.241,596.758,137.222,-215.083,553.012,165.048,-216.471,527.304,128.873,-225.429,490.717,100.518,-167.513,658.913,268.761,-120.127,594.637,258.231,-150.537,613.625,274.361,-12.4786,565.904,225.554,-9.78003,572.885,254.97,30.2451,570.687,252.621,29.3522,563.337,224.891
-177.941,225.273,44.5147,-233.899,222.146,10.3574,-250.607,384.601,19.0921,-237.777,281.796,23.7251,-192.001,282.463,53.172,-218.511,383.058,65.3854,,,,-244.511,454.031,23.9688,-237.457,517.641,72.5248,-228.575,556.627,103.368,-217.247,596.755,137.23,-215.086,553.008,165.054,-216.475,527.301,128.878,-225.434,490.715,100.521,-167.518,658.912,268.767,-120.134,594.637,258.236,-150.545,613.625,274.369,-12.4846,565.898,225.556,-9.78477,572.881,254.972,30.2389,570.682,252.623,29.3455,563.331,224.893
-177.94,225.272,44.5139,-233.898,222.145,10.3574,-250.61,384.599,19.0929,-237.785,281.797,23.7308,-192.002,282.461,53.1715,-218.514,383.057,65.3872,,,,-244.514,454.03,23.9715,-237.462,517.64,72.5254,-228.579,556.625,103.374,-217.254,596.751,137.238,-215.089,553.003,165.06,-216.48,527.298,128.883,-225.438,490.712,100.524,-167.522,658.911,268.773,-120.142,594.636,258.241,-150.552,613.624,274.377,-12.4906,565.893,225.558,-9.78957,572.876,254.974,30.2326,570.677,252.624,29.3388,563.325,224.895
-177.939,225.271,44.5131,-233.897,222.144,10.3572,-250.613,384.598,19.0938,-237.793,281.797,23.7365,-192.003,282.46,53.1709,-218.517,383.055,65.3892,,,,-244.518,454.029,23.9744,-237.467,517.64,72.5266,-228.584,556.622,103.38,-217.261,596.748,137.247,-215.092,552.998,165.067,-216.485,527.295,128.888,-225.442,490.71,100.527,-167.526,658.909,268.779,-120.15,594.636,258.246,-150.561,613.623,274.386,-12.4966,565.888,225.561,-9.79442,572.871,254.976,30.2263,570.671,252.626,29.3321,563.319,224.897
-177.937,225.27,44.5121,-233.896,222.143,10.357,-250.617,384.597,19.0947,-237.801,281.797,23.7423,-192.003,282.459,53.1703,-218.52,383.054,65.3914,,,,-244.522,454.028,23.9774,-237.471,517.639,72.5284,-228.588,556.619,103.386,-217.268,596.744,137.255,-215.095,552.993,165.074,-216.49,527.292,128.893,-225.447,490.707,100.53,-167.531,658.908,268.785,-120.158,594.636,258.251,-150.569,613.623,274.394,-12.5027,565.882,225.564,-9.79931,572.866,254.978,30.2198,570.665,252.628,29.3254,563.312,224.899
-177.936,225.27,44.5112,-233.896,222.142,10.3566,-250.62,384.596,19.0956,-237.81,281.797,23.7482,-192.004,282.458,53.1697,-218.523,383.052,65.3937,,,,-244.526,454.028,23.9804,-237.475,517.638,72.5307,-228.593,556.615,103.392,-217.276,596.74,137.265,-215.098,552.987,165.081,-216.494,527.289,128.899,-225.451,490.704,100.534,-167.535,658.907,268.791,-120.166,594.635,258.256,-150.577,613.622,274.403,-12.5088,565.876,225.566,-9.80423,572.86,254.98,30.2133,570.658,252.631,29.3188,563.305,224.902
-177.935,225.269,44.5101,-233.895,222.141,10.3562,-250.624,384.595,19.0966,-237.818,281.798,23.754,-192.005,282.456,53.169,-218.526,383.05,65.3961,,,,-244.53,454.027,23.9835,-237.479,517.637,72.5335,-228.597,556.612,103.399,-217.283,596.736,137.274,-215.101,552.982,165.088,-216.499,527.286,128.905,-225.456,490.701,100.537,-167.54,658.905,268.797,-120.174,594.635,258.26,-150.586,613.621,274.411,-12.5149,565.869,225.569,-9.80918,572.855,254.983,30.2067,570.652,252.633,29.3122,563.298,224.905
-177.935,225.268,44.509,-233.894,222.141,10.3555,-250.628,384.593,19.0976,-237.827,281.798,23.7597,-192.007,282.455,53.1683,-218.529,383.048,65.3986,,,,-244.534,454.026,23.9867,-237.483,517.635,72.5369,-228.602,556.609,103.406,-217.291,596.732,137.284,-215.105,552.976,165.096,-216.504,527.282,128.911,-225.46,490.697,100.541,-167.545,658.903,268.803,-120.183,594.634,258.265,-150.594,613.619,274.42,-12.5211,565.863,225.572,-9.81415,572.849,254.985,30.2,570.645,252.635,29.3056,563.29,224.908
-177.934,225.267,44.5078,-233.893,222.14,10.3548,-250.631,384.592,19.0986,-237.836,281.798,23.7653,-192.008,282.453,53.1675,-218.533,383.046,65.4012,,,,-244.539,454.025,23.9899,-237.487,517.634,72.5407,-228.606,556.606,103.413,-217.299,596.728,137.294,-215.108,552.971,165.104,-216.509,527.279,128.917,-225.465,490.694,100.545,-167.55,658.901,268.809,-120.191,594.634,258.269,-150.603,613.618,274.429,-12.5272,565.856,225.576,-9.81911,572.843,254.988,30.1933,570.638,252.638,29.2991,563.282,224.912
