 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-228.803,400.992,25.7697,-295.141,403.957,23.7121,-305.119,582.401,-21.586,-296.049,494.365,6.50492,-246.96,498.436,25.2804,-252.565,574.087,25.1879,,,,-295.937,656.771,-24.78,-272.973,669.713,77.3739,-263.099,677.916,122.182,-254.116,691.875,195.429,-235.146,650.781,194.267,-242.398,644.735,133.163,-256.852,636.983,87.6409,-180.205,742.385,304.015,-135.592,659.636,303.995,-173.855,690.214,319.994,-17.4761,616.771,255.435,-15.2566,628.203,282.352,27.6146,628.279,282.039,27.7998,612.895,258.912,,,,,,
-228.812,400.997,25.7712,-295.153,403.963,23.7098,-305.126,582.411,-21.5864,-296.06,494.374,6.50568,-246.972,498.444,25.2849,-252.576,574.094,25.1943,,,,-295.94,656.781,-24.7828,-272.981,669.72,77.3727,-263.11,677.922,122.181,-254.125,691.881,195.432,-235.155,650.783,194.272,-242.408,644.736,133.162,-256.858,636.989,87.6349,-180.21,742.387,304.006,-135.587,659.633,303.981,-173.856,690.217,319.992,-17.4707,616.753,255.428,-15.2562,628.185,282.345,27.6111,628.261,282.041,27.8015,612.878,258.913,,,,,,
-228.821,401.001,25.7736,-295.163,403.968,23.7086,-305.132,582.42,-21.5865,-296.069,494.383,6.50703,-246.982,498.453,25.2896,-252.586,574.102,25.1993,,,,-295.944,656.79,-24.7857,-272.989,669.725,77.3713,-263.121,677.926,122.181,-254.133,691.886,195.434,-235.164,650.784,194.277,-242.418,644.735,133.161,-256.863,636.994,87.6286,-180.215,742.388,303.996,-135.582,659.63,303.967,-173.857,690.219,319.989,-17.4657,616.736,255.42,-15.2561,628.167,282.338,27.6074,628.245,282.044,27.8029,612.863,258.915,,,,,,
-228.829,401.006,25.7769,-295.173,403.973,23.7084,-305.139,582.427,-21.5865,-296.077,494.391,6.50898,-246.991,498.461,25.2945,-252.594,574.109,25.2029,,,,-295.948,656.798,-24.7889,-272.997,669.73,77.3698,-263.131,677.93,122.181,-254.141,691.89,195.436,-235.172,650.784,194.281,-242.428,644.734,133.16,-256.867,636.998,87.622,-180.221,742.388,303.986,-135.578,659.627,303.952,-173.859,690.22,319.985,-17.4612,616.719,255.413,-15.2563,628.151,282.332,27.6036,628.229,282.046,27.8039,612.848,258.916,,,,,,
-228.836,401.011,25.781,-295.181,403.978,23.7092,-305.145,582.434,-21.5863,-296.085,494.398,6.5115,-246.999,498.469,25.2997,-252.6,574.118,25.2051,,,,-295.952,656.806,-24.7922,-273.005,669.733,77.3682,-263.141,677.932,122.18,-254.149,691.893,195.437,-235.18,650.783,194.285,-242.436,644.732,133.158,-256.871,637.001,87.6151,-180.226,742.387,303.976,-135.574,659.623,303.938,-173.86,690.22,319.981,-17.4571,616.704,255.406,-15.2566,628.134,282.325,27.5996,628.213,282.048,27.8045,612.833,258.917,,,,,,
-228.843,401.017,25.786,-295.188,403.983,23.711,-305.151,582.439,-21.5859,-296.09,494.404,6.51458,-247.005,498.476,25.3051,-252.605,574.126,25.2059,,,,-295.957,656.812,-24.7957,-273.013,669.735,77.3664,-263.15,677.934,122.179,-254.155,691.895,195.438,-235.186,650.782,194.288,-242.444,644.729,133.156,-256.874,637.002,87.6079,-180.231,742.385,303.966,-135.57,659.618,303.923,-173.862,690.219,319.976,-17.4535,616.689,255.399,-15.2573,628.119,282.319,27.5955,628.198,282.049,27.8047,612.82,258.917,,,,,,
-228.848,401.022,25.7919,-295.195,403.987,23.7138,-305.157,582.443,-21.5852,-296.095,494.41,6.51821,-247.01,498.484,25.3107,-252.608,574.134,25.2053,,,,-295.962,656.817,-24.7994,-273.02,669.737,77.3644,-263.159,677.934,122.177,-254.162,691.896,195.439,-235.192,650.78,194.291,-242.45,644.725,133.154,-256.876,637.003,87.6005,-180.236,742.382,303.955,-135.566,659.612,303.908,-173.863,690.217,319.971,-17.4503,616.675,255.392,-15.2581,628.105,282.312,27.5912,628.184,282.051,27.8046,612.807,258.917,,,,,,
-228.853,401.027,25.7985,-295.2,403.992,23.7175,-305.163,582.445,-21.5845,-296.098,494.414,6.52237,-247.014,498.49,25.3164,-252.61,574.143,25.2033,,,,-295.968,656.821,-24.8032,-273.027,669.737,77.3623,-263.167,677.933,122.176,-254.167,691.896,195.439,-235.196,650.777,194.293,-242.457,644.72,133.152,-256.878,637.003,87.5928,-180.242,742.377,303.944,-135.563,659.606,303.893,-173.865,690.213,319.965,-17.4475,616.661,255.384,-15.2593,628.091,282.305,27.5868,628.17,282.052,27.804,612.794,258.917,,,,,,
-228.857,401.032,25.806,-295.204,403.996,23.7223,-305.168,582.446,-21.5835,-296.101,494.418,6.52702,-247.017,498.496,25.3223,-252.61,574.152,25.1999,,,,-295.974,656.824,-24.8073,-273.033,669.736,77.3601,-263.175,677.932,122.174,-254.172,691.895,195.438,-235.2,650.774,194.295,-242.462,644.714,133.15,-256.878,637.001,87.5848,-180.247,742.372,303.934,-135.56,659.599,303.878,-173.866,690.209,319.959,-17.4452,616.649,255.377,-15.2606,628.078,282.299,27.5823,628.157,282.053,27.8031,612.782,258.917,,,,,,
-228.86,401.037,25.8141,-295.207,404,23.7279,-305.173,582.446,-21.5824,-296.101,494.421,6.53216,-247.019,498.502,25.3283,-252.609,574.161,25.1952,,,,-295.981,656.826,-24.8115,-273.04,669.734,77.3577,-263.183,677.929,122.172,-254.176,691.894,195.437,-235.203,650.77,194.297,-242.466,644.707,133.147,-256.878,636.999,87.5766,-180.252,742.365,303.923,-135.557,659.591,303.863,-173.868,690.204,319.952,-17.4433,616.637,255.37,-15.2622,628.065,282.292,27.5776,628.145,282.053,27.8019,612.771,258.917,,,,,,
