 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
160.885,198.806,37.6381,225.497,195.846,19.5792,224.818,382.59,71.76,199.72,314.159,57.6756,249.007,307.613,38.7298,264.397,371.987,44.3273,199.374,462.084,-16.0628,274.274,451.745,29.5989,226.336,476.829,125.836,212.593,502.067,165.869,202.822,525.412,212.235,230.358,562.703,195.363,237.106,534.911,151.654,248.139,507.481,112.92,148.133,665.375,298.067,101.986,568.996,284.601,141.422,606.5,320.159,-49.2603,528.66,248.535,-49.3017,540.703,274.35,-5.98304,542.695,272.769,-5.13989,532.785,246.338
160.883,198.803,37.6381,225.496,195.846,19.5811,224.82,382.591,71.7524,199.721,314.156,57.6749,249.006,307.612,38.7262,264.4,371.986,44.3198,199.359,462.037,-16.05,274.276,451.745,29.5862,226.339,476.824,125.81,212.599,502.045,165.84,202.828,525.366,212.213,230.381,562.665,195.359,237.126,534.891,151.642,248.15,507.472,112.901,148.193,665.319,298.063,102.02,568.957,284.59,141.473,606.437,320.17,-49.2082,528.652,248.506,-49.2509,540.688,274.324,-5.93428,542.679,272.743,-5.08944,532.768,246.313
160.882,198.801,37.6385,225.495,195.846,19.582,224.824,382.592,71.7442,199.725,314.154,57.6735,249.007,307.611,38.7216,264.404,371.986,44.3118,199.347,461.989,-16.0381,274.28,451.744,29.5724,226.343,476.818,125.784,212.607,502.024,165.811,202.834,525.321,212.193,230.405,562.628,195.356,237.147,534.87,151.63,248.163,507.462,112.882,148.252,665.265,298.059,102.055,568.919,284.58,141.524,606.377,320.18,-49.157,528.645,248.476,-49.2011,540.676,274.297,-5.88645,542.666,272.718,-5.03983,532.752,246.287
160.883,198.799,37.6393,225.497,195.846,19.5819,224.829,382.594,71.7355,199.731,314.152,57.6715,249.011,307.611,38.7161,264.409,371.987,44.3032,199.336,461.941,-16.0271,274.285,451.743,29.5575,226.348,476.811,125.758,212.615,502.002,165.784,202.843,525.278,212.173,230.429,562.591,195.354,237.168,534.849,151.619,248.177,507.452,112.863,148.309,665.215,298.055,102.088,568.883,284.57,141.573,606.319,320.19,-49.1067,528.641,248.446,-49.1522,540.665,274.27,-5.83955,542.654,272.693,-4.99107,532.739,246.261
160.887,198.796,37.6404,225.499,195.845,19.5807,224.836,382.597,71.7262,199.739,314.15,57.6686,249.016,307.61,38.7098,264.415,371.988,44.294,199.327,461.893,-16.0169,274.293,451.742,29.5417,226.354,476.804,125.732,212.625,501.98,165.757,202.852,525.234,212.154,230.454,562.555,195.352,237.19,534.828,151.608,248.193,507.441,112.845,148.366,665.167,298.05,102.121,568.849,284.561,141.622,606.265,320.2,-49.0574,528.639,248.417,-49.1043,540.656,274.243,-5.79359,542.645,272.667,-4.94316,532.729,246.236
160.892,198.794,37.6419,225.503,195.844,19.5785,224.845,382.6,71.7165,199.749,314.149,57.6651,249.024,307.609,38.7025,264.422,371.99,44.2843,199.32,461.845,-16.0075,274.302,451.742,29.525,226.361,476.796,125.706,212.635,501.958,165.731,202.863,525.192,212.136,230.48,562.52,195.35,237.213,534.807,151.598,248.209,507.429,112.827,148.421,665.122,298.046,102.154,568.818,284.553,141.669,606.214,320.21,-49.0089,528.639,248.387,-49.0573,540.65,274.217,-5.74856,542.637,272.642,-4.89611,532.72,246.21
160.899,198.791,37.6438,225.509,195.843,19.5752,224.855,382.604,71.7063,199.762,314.147,57.6609,249.034,307.608,38.6945,264.43,371.993,44.2741,199.314,461.797,-15.9989,274.313,451.741,29.5073,226.369,476.788,125.68,212.647,501.935,165.706,202.875,525.151,212.119,230.506,562.486,195.348,237.236,534.786,151.589,248.227,507.416,112.81,148.475,665.079,298.041,102.186,568.788,284.545,141.715,606.166,320.219,-48.9614,528.64,248.357,-49.0113,540.646,274.19,-5.70448,542.631,272.617,-4.84991,532.714,246.185
160.909,198.789,37.6461,225.516,195.841,19.5709,224.866,382.608,71.6957,199.777,314.146,57.6561,249.046,307.607,38.6856,264.44,371.996,44.2634,199.31,461.749,-15.9909,274.326,451.74,29.4888,226.378,476.778,125.654,212.659,501.912,165.682,202.888,525.11,212.103,230.533,562.452,195.347,237.26,534.764,151.58,248.246,507.403,112.793,148.528,665.04,298.036,102.218,568.76,284.538,141.761,606.121,320.229,-48.9148,528.644,248.327,-48.9663,540.643,274.163,-5.66134,542.628,272.592,-4.80457,532.709,246.159
160.92,198.786,37.6488,225.525,195.839,19.5654,224.879,382.612,71.6847,199.794,314.146,57.6505,249.061,307.606,38.676,264.451,372,44.2523,199.308,461.7,-15.9837,274.34,451.739,29.4696,226.388,476.768,125.629,212.672,501.89,165.659,202.903,525.071,212.088,230.561,562.419,195.347,237.285,534.743,151.571,248.266,507.389,112.777,148.58,665.003,298.032,102.249,568.733,284.531,141.805,606.079,320.238,-48.8691,528.65,248.297,-48.9221,540.643,274.136,-5.61914,542.626,272.566,-4.7601,532.707,246.134
160.933,198.784,37.6519,225.535,195.837,19.5588,224.893,382.617,71.6733,199.813,314.145,57.6443,249.077,307.604,38.6655,264.462,372.004,44.2409,199.308,461.652,-15.977,274.356,451.738,29.4496,226.398,476.758,125.604,212.687,501.867,165.637,202.919,525.032,212.073,230.589,562.387,195.346,237.31,534.721,151.564,248.288,507.374,112.761,148.631,664.969,298.027,102.28,568.709,284.526,141.848,606.04,320.247,-48.8243,528.658,248.267,-48.879,540.645,274.109,-5.5779,542.626,272.541,-4.71649,532.707,246.108
